n_evals,sp_global
7,0.23896142330410816
14,0.15384615384615385
21,0.10118327089237246
28,0.08639346302173063
35,0.07691142911057756
41,0.06249999999999994
58,0.0605260312630956
75,0.050000000000000114
92,0.04839362970447951
109,0.04081341266848214
120,0.033333333333333194
133,0.0454545454545455
146,0.03636363636363622
159,0.04048475212724275
172,0.03508771929824566
180,0.0307692307692307
194,0.028947412042363934
208,0.02499999999999985
222,0.021739130434782677
236,0.019781718255709936
238,0.019587779841438075
249,0.021483371438996788
260,0.021031089935017955
271,0.021483371438996788
282,0.02125482493432656
289,0.01978171825570978
357,0.02081201608152819
425,0.01997935571647349
493,0.019027598980642834
561,0.02125476301208136
573,0.01884861833798763
641,0.02219928486272431
709,0.02436501471997863
777,0.021030900676396368
845,0.0186724048580589
862,0.01611242233975286
943,0.020432097655015743
1024,0.024974260973848715
1105,0.021483137775504504
1186,0.02561478953588743
