n_evals,gd_global_default
7,0.14400340693060495
14,0.1447051642245096
21,0.14824059105095366
28,0.14890319734700938
35,0.11580803523394317
41,0.10162212429563633
58,0.09369316704734065
75,0.08260903250310198
92,0.07700367245164882
109,0.0678812778994175
120,0.07362702315434343
133,0.03611803072884576
146,0.036419181283608784
159,0.04905700472688222
172,0.04953214244995246
180,0.04989209527046021
194,0.05741793434667782
208,0.05928826468963709
222,0.06005879007309502
236,0.06305960457087749
238,0.06289568172694233
249,0.06446162127620066
260,0.06401226871926692
271,0.06442649286356186
282,0.06413535988675759
289,0.061191351024161296
357,0.06426186642292878
425,0.06448335178860086
493,0.06019147227482853
561,0.07199214537243147
573,0.06898940198638427
641,0.0893775474662208
709,0.07383014408124688
777,0.06484790371777693
845,0.05962620968047764
862,0.05455676833277866
943,0.06962898212135965
1024,0.08186807737250652
1105,0.07541533305951068
1186,0.07101944905782215
