n_evals,igd_all
7,0.16889945585598665
14,0.1666562955207422
21,0.16665629552059702
28,0.16622714384287035
35,0.16821366955966902
41,0.16845970661737852
58,0.16835579621002256
75,0.16835579621002256
92,0.16829893239002444
109,0.16829699324686806
120,0.16605383291162362
133,0.14218284139317824
146,0.14216083683756678
159,0.14218565542545406
172,0.14217005296353769
180,0.14217005296353769
194,0.1382734025102494
208,0.13826934248393355
222,0.13826934248393355
236,0.13826934248393355
238,0.28386947585322725
249,0.28170991446960025
260,0.2815404282976522
271,0.279162808921817
282,0.27756396508408937
289,0.20080195206385515
357,0.20217802607732627
425,0.20873762076702748
493,0.20876070591234458
561,0.17252049817644816
573,0.19840899763607292
641,0.19667426655250647
709,0.2022970685959082
777,0.2022970685959082
845,0.19050021130510622
862,0.19050021130510622
943,0.19825133619433022
1024,0.18091010824664494
1105,0.17471436380420716
1186,0.17453859531226204
