n_evals,igd_global
7,0.16889945585598665
14,0.1666562955207422
21,0.16665629552059702
28,0.16618675692672658
35,0.1661761593659903
41,0.1661761593659903
58,0.16607116807790653
75,0.16607116807790653
92,0.16600417368694062
109,0.16600223454378418
120,0.16600223454378418
133,0.14216263474312504
146,0.14216263474312504
159,0.1421652034525344
172,0.14216507586090224
180,0.14216507586090224
194,0.13827278937854853
208,0.1382687293522327
222,0.1382687293522327
236,0.1382687293522327
238,0.1382687293522327
249,0.1383499758164763
260,0.1383499758164763
271,0.13845110743182026
282,0.13847979461854087
289,0.13847979461854087
357,0.13881399332957908
425,0.14142952089234237
493,0.14142310047210743
561,0.13595816953354956
573,0.13595816953354956
641,0.13398660671027313
709,0.1367349924451739
777,0.1367349924451739
845,0.13061683609988595
862,0.13061683609988595
943,0.13460809712301497
1024,0.11726686917532972
1105,0.11375541700061972
1186,0.11357964850867455
