n_evals,sp
7,0.23896142330410816
14,0.2376878797925779
21,0.22093056629042254
28,0.2204297920338299
35,0.2286663041558513
41,0.3485475219902522
58,0.32904748705282394
75,0.32904748705282394
92,0.20528706054494275
109,0.2824344294404305
120,0.19771198758002334
133,0.24712296833397648
146,0.17988345093290034
159,0.2422836930647914
172,0.28064106574022374
180,0.28064106574022374
194,0.21931930018963677
208,0.1974172811191335
222,0.17966214494777602
236,0.16456697872893217
238,1.0
249,0.5
260,0.5
271,1.0
282,0.5
289,0.32556848818460277
357,0.21528814089033532
425,0.15782544703389553
493,0.17442831255345234
561,0.1302185525466087
573,0.17131858116608314
641,0.12239287526614172
709,0.16462951379829172
777,0.15196307147849644
845,0.11829155408764633
862,0.11829155408764633
943,0.10904985653605971
1024,0.137464236717511
1105,0.10686901384217969
1186,0.1745018264575615
