n_evals,hv_all
7,0.394141408199687
14,0.3988909070012234
21,0.3989908473282957
28,0.3990661343169656
35,0.40307532635086873
41,0.40307532635086873
58,0.4036030972733574
75,0.4036030972733574
92,0.40526283506550964
109,0.405263660174913
120,0.405263660174913
133,0.4364476807067516
146,0.4364476807067516
159,0.4364476807067516
172,0.4364476807067516
180,0.4364476807067516
194,0.46207389303199287
208,0.46224340784147205
222,0.46224340784147205
236,0.4622434078555487
238,0.4622434078555487
249,0.46254482323690166
260,0.46254482323690166
271,0.46293370920246063
282,0.4631417387163877
289,0.4631417387163877
357,0.4657468913928756
425,0.46835578372247527
493,0.4692474690869988
561,0.4755035329753354
573,0.4755035329753354
641,0.4794025790654612
709,0.47985418668736207
777,0.4801852927197335
845,0.49044070716785954
862,0.49044070716785954
943,0.491263522801546
1024,0.5005519319303382
1105,0.5007353451639522
1186,0.5037156128294408
