n_evals,gd_all_default
7,0.14400340693060495
14,0.1454069215184143
21,0.15160390385044864
28,0.1505123840660019
35,0.16336795976840465
41,0.03778552507325559
58,0.02877180757394269
75,0.02877180757394269
92,0.02284080723679274
109,0.01998870650020306
120,0.09974404704037032
133,0.0460127518217647
146,0.03538005645455986
159,0.07352380379565042
172,0.05250175321914142
180,0.05250175321914142
194,0.09889157900370699
208,0.07119036687210524
222,0.06525983641143608
236,0.06513139960061265
238,0.17324062188036082
249,0.21450136092456976
260,0.1229456663691224
271,0.16132111488796916
282,0.11980369661436473
289,0.021236945031782938
357,0.035123139091467505
425,0.04124997272144524
493,0.027403243528837662
561,0.07404728757667017
573,0.04521768351351055
641,0.0663712686945924
709,0.025872268782533788
777,0.020930750959620104
845,0.022350905653279275
862,0.022350905653279275
943,0.031323444512941834
1024,0.03808686333529267
1105,0.03758475309140412
1186,0.009697676694793341
