Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,1.833712,1.751251,0.431317,-0.000000,-6.299095,0
1,0.962982,2.548596,1.515707,-0.831797,-2.749578,1
2,0.495321,1.352363,2.635379,-0.791533,-2.754459,1
3,1.996981,1.033647,1.993298,-0.000000,-6.977249,0
4,0.960861,2.548596,1.518247,-0.890848,-2.741990,1
5,1.985129,1.458145,0.585775,-0.000000,-6.926194,0
6,0.917927,2.950149,1.628064,-0.999775,-2.590769,1
7,1.310087,2.037160,0.280289,-0.543280,-4.587411,0
8,1.998570,0.971730,0.597602,-0.000000,-6.973566,0
9,1.310087,2.037160,0.276125,-0.542711,-4.723663,0
10,1.982780,1.240584,0.103511,-0.000000,-6.917876,0
11,0.964228,2.549703,1.515707,-0.830681,-2.753433,1
12,1.979432,1.776434,0.393107,-0.000000,-6.906735,0
13,0.934540,2.863660,1.626609,-0.990198,-2.649444,1
14,0.973812,2.548596,1.515707,-0.626808,-2.788640,1
15,1.965229,2.211738,0.048677,-0.042757,-5.307725,0
16,0.878903,1.652670,0.974924,-0.598429,-3.277399,0
17,1.034216,1.694156,0.407068,-0.333443,-4.988205,0
18,1.995909,1.429778,0.587445,-0.000000,-6.964216,0
19,1.999746,1.301232,4.482404,-0.000000,-6.986497,0
