n_evals,sp
8,0.2677654752309347
16,0.2705090256860621
24,0.2616975732889756
32,0.25474580823150916
40,0.2546239784073902
48,0.2546239784073902
56,0.24560050821613108
64,0.25849305853020305
72,0.25849305853020305
80,0.2449237050720336
89,0.22825276407107606
102,0.16721423377489958
115,0.15304641430048338
128,0.15977759025894275
141,0.1640434739478967
154,0.1640434739478967
171,0.1406161882944287
188,0.1780716463295712
205,0.16385981822906712
222,0.1312429139841376
238,0.1312429139841376
265,0.11573937732425559
292,0.11751259572702392
319,0.1425635312415865
346,0.13317469720367237
352,0.26917988495562717
400,0.36419545121108643
448,0.3549484456662877
496,0.2956730811343181
544,0.25222109027366657
552,0.25222109027366657
586,0.2496603962091994
620,0.1815751263333537
654,0.18402525383893423
688,0.20684929220099138
697,0.20684929220099138
747,0.19801204932127364
797,0.1609250311534876
847,0.1609250311534876
897,0.22654013120372105
904,0.32996107947442854
949,0.3299912709063498
994,0.32999131773964163
1039,0.24248843162180145
1084,0.14856507502044292
