n_evals,gd_all_default
8,0.11720185417054463
16,0.11165860133820195
24,0.08943605441385187
32,0.13605054305388053
40,0.1364930689017368
48,0.1364930689017368
56,0.15091917751167497
64,0.14229646412180522
72,0.14229646412180522
80,0.13731191255204217
89,0.12848706736591076
102,0.13844305500129941
115,0.13467516531783194
128,0.13490222858942888
141,0.058317719781318424
154,0.058317719781318424
171,0.05550678013490543
188,0.06519144612699826
205,0.05559942787954834
222,0.05226307177070377
238,0.05226307177070377
265,0.0566945165293103
292,0.036928741688649305
319,0.052972609054980885
346,0.04461684887527244
352,0.03911553323307125
400,0.1010735223417536
448,0.08373910425379333
496,0.08106910925183583
544,0.07635555277317836
552,0.07635555277317836
586,0.09776842383001731
620,0.11351882677437648
654,0.04905972596338075
688,0.04607867323366972
697,0.04607867323366972
747,0.04732694124035226
797,0.0426672261701578
847,0.0426672261701578
897,0.0379938560662718
904,0.038072594582546325
949,0.03278677793649132
994,0.03277964778770364
1039,0.038313626399006824
1084,0.04450552488861347
