n_evals,igd_all
8,0.2459269110130036
16,0.23481019585880125
24,0.23440318341728353
32,0.23440318341728353
40,0.22606664567473686
48,0.22606664567473686
56,0.2064969444726459
64,0.2064337142367838
72,0.2064337142367838
80,0.20723767990641442
89,0.20632232760952654
102,0.20102855483989515
115,0.19318636854900909
128,0.19318100667607344
141,0.1842463557538236
154,0.1842463557538236
171,0.1842463557538236
188,0.18372462929195313
205,0.1784631036861342
222,0.1784631036861342
238,0.1784631036861342
265,0.17655315712725644
292,0.1820327277271258
319,0.18021388622020854
346,0.17416332093908515
352,0.49863231838229816
400,0.342182547651562
448,0.25079384530373017
496,0.2464283175863645
544,0.2388527349125171
552,0.2388527349125171
586,0.23878389210158404
620,0.23137337816262704
654,0.21822431749354648
688,0.21802235204806628
697,0.21802235204806628
747,0.21175176484302533
797,0.19870860396734666
847,0.19870860396734666
897,0.1727553712394065
904,0.21266810318594181
949,0.21168514801682525
994,0.21168378572430283
1039,0.19322384715405103
1084,0.1932042247859051
