NSGAII_n_evals,NSGAII_IGD,NSGAII_IGD_sigma,NSGAIIDT_n_evals,NSGAIIDT_IGD,NSGAIIDT_IGD_sigma
125,0.2663234242597071,0.04207755499386515,125,0.19235913914331154,0.0610000416108197
250,0.2038605708843911,0.04352955083162567,250,0.1670936540309555,0.05401802266607517
375,0.1725902056860656,0.04588742915153285,375,0.15264254727785448,0.06204216812865533
500,0.14970723881224726,0.04531269717415858,500,0.13952665306911888,0.06478736911342622
625,0.13772135291416074,0.04032061693860874,625,0.12981131717718714,0.059172779190655694
750,0.12386483009182421,0.033681808963693854,750,0.11780315810364494,0.04921610584358012
875,0.10820968904982808,0.03044574477842848,875,0.11550075528109456,0.04960306456620176
