NSGAII_n_evals,NSGAII_IGD,NSGAII_IGD_sigma,NSGAIIDT_n_evals,NSGAIIDT_IGD,NSGAIIDT_IGD_sigma
125,0.16959824372862886,0.04269055030886929,125,0.12746504236969228,0.1063157627875777
250,0.11285128567835197,0.03766452323434957,250,0.09248717442868697,0.06511847328473927
375,0.09790353975569091,0.049307628254053784,375,0.08516650165021473,0.10784268508192653
500,0.09669925694067336,0.05815700565961513,500,0.06298517633741103,0.031439225867819706
625,0.0892494919550679,0.04363452614772374,625,0.06499881329937832,0.024048661844875904
750,0.0763921603605485,0.016737428644185988,750,0.05259375145740684,0.026368431525195093
875,0.06336933545337461,0.016882610967240835,875,0.04705145961773159,0.016648322129472273
1000,0.05587336341487692,0.019931131555447904,1000,0.08140588357453911,0.11719744535203289
