Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
594,1.495403,1.887885,0.024014,-0.330406,-6.644325,0
595,1.446528,1.898020,0.118050,-0.410942,-6.405314,0
596,1.437891,1.898319,0.137858,-0.452196,-6.364299,0
597,0.510304,2.151077,3.711743,-0.995997,-1.587005,1
598,1.448352,1.908748,0.130421,-0.425571,-6.394082,0
599,1.999591,1.898017,4.267168,-0.000000,-6.985496,0
600,1.999591,2.150995,4.209761,-0.000000,-6.985496,0
601,1.999591,1.909001,4.141185,-0.000000,-6.985496,0
602,0.494631,1.897435,3.711743,-0.999486,-1.567065,1
603,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
604,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
605,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
606,0.597196,1.267425,2.155203,-0.981444,-1.800825,1
607,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
608,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
609,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
610,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
611,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
612,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
613,1.792671,1.898917,0.023374,-0.563528,-4.007998,0
614,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
615,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
616,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
617,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
618,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
619,1.437891,1.898021,0.137858,-0.454119,-6.364299,0
620,1.447355,1.909077,0.130421,-0.432993,-6.406539,0
621,1.500721,1.887885,0.022629,-0.338585,-6.652612,0
622,1.532035,1.898051,0.016559,-0.325912,-6.747926,0
623,1.997867,1.931254,0.465533,-0.000000,-6.970860,0
624,1.998004,1.931254,0.465533,-0.000000,-6.971876,0
625,1.999456,1.822018,0.465533,-0.000000,-6.976429,0
626,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
627,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
628,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
629,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
630,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
631,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
632,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
