NSGAII_n_evals,NSGAII_HV,NSGAII_HV_sigma,NSGAIIDT_n_evals,NSGAIIDT_HV,NSGAIIDT_HV_sigma
125,0.17145610984997145,0.10180966706933554,125,0.37428724663268576,0.13711731677206881
250,0.2930971246486727,0.1289753753350886,250,0.41757411776026787,0.1133510982851417
375,0.35676207100572765,0.13506418380054486,375,0.4614812013830994,0.12332092121240597
500,0.40391124151393615,0.1356272324558569,500,0.4770750199187267,0.13279540974285958
625,0.42979551690971957,0.13402202258719692,625,0.5032953531431519,0.10734229472617252
750,0.4628597120986577,0.12105296466739927,750,0.5239994581393891,0.09780455777478216
875,0.5045123478194659,0.09938359399620268,875,0.5331656929485413,0.08949404152680185
1000,0.5296368556049951,0.09960766489557603,1000,0.5423308497384502,0.08670428834112556
