NSGAII_n_evals,NSGAII_HV,NSGAII_HV_sigma,NSGAIIDT_n_evals,NSGAIIDT_HV,NSGAIIDT_HV_sigma
125,0.17145610984997145,0.10180966706933556,125,0.37428724663268576,0.13711731677206881
250,0.29309712464867266,0.1289753753350886,250,0.41757411776026787,0.1133510982851417
375,0.3567620710057277,0.13506418380054488,375,0.4614812013830994,0.12332092121240597
500,0.40391124151393615,0.1356272324558569,500,0.4770750199187267,0.13279540974285958
625,0.4297955169097197,0.13402202258719692,625,0.5032953531431519,0.10734229472617253
750,0.46285971209865784,0.12105296466739927,750,0.5239994581393891,0.09780455777478216
875,0.504512347819466,0.0993835939962027,875,0.5331656929485413,0.08949404152680183
