NSGAII_n_evals,NSGAII_SP,NSGAII_SP_sigma,NSGAIIDT_n_evals,NSGAIIDT_SP,NSGAIIDT_SP_sigma
125,0.2209261383579933,0.05412642288970662,125,0.04043857471124472,0.02295366305893828
250,0.12940923374379004,0.02568485228498094,250,0.023586373959515135,0.006995146896131912
375,0.09123305752657973,0.022888156702125434,375,0.024168257537385475,0.009586628617428325
500,0.06811189745210736,0.02294428759303443,500,0.02235324715145542,0.007939395647488173
625,0.055499987926335995,0.017915388540982784,625,0.01898240466727267,0.006074496489357432
750,0.06183803214576121,0.02780851827665564,750,0.017008720596698022,0.006926146749056065
875,0.0579543879083753,0.024856057814615515,875,0.015503260257902773,0.006620599195375262
