Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,1.122937,2.566832,1.075343,-0.176426,-3.171088,0
1,1.855446,1.405288,0.519152,-0.000000,-6.394543,0
2,1.527222,1.291419,0.290549,-0.000000,-5.052087,0
3,1.933294,1.554240,0.661872,-0.000000,-6.708342,0
4,0.888560,2.105467,1.728297,-0.228587,-2.481379,0
5,0.794696,1.520929,1.546492,-0.988402,-2.132248,1
6,1.783049,1.739952,0.470696,-0.000000,-6.096004,0
7,1.997416,0.960064,0.365837,-0.000000,-6.969844,0
8,0.368234,0.753516,2.475164,-0.994031,-1.230586,1
9,1.000362,2.078953,1.789059,-0.000001,-2.865630,0
10,0.798110,2.487917,0.908460,-0.153796,-2.187180,0
11,0.886851,2.888118,1.964067,-0.094482,-2.473860,0
12,0.630274,2.301368,2.814677,-0.987868,-1.880760,1
13,0.726431,1.816842,0.847247,-0.395599,-2.043201,0
14,1.221637,2.685212,1.673322,-0.000000,-3.620047,0
15,1.629317,2.534263,1.055209,-0.000000,-5.237174,0
16,1.625289,2.939627,1.040506,-0.000000,-5.214345,0
17,1.961327,1.161540,3.070010,-0.000000,-6.828383,0
18,1.788198,0.794646,0.626169,-0.000000,-6.113610,0
19,1.974391,1.483046,3.335879,-0.000000,-6.883845,0
20,1.008644,2.523866,2.215431,-0.000000,-2.843593,0
21,0.964386,0.690620,0.002246,-0.000000,-2.753223,0
22,0.799793,2.523517,0.512835,-0.025416,-2.229962,0
23,0.826973,2.662951,0.316557,-0.011451,-2.361466,0
24,1.586126,2.958603,0.809967,-0.662790,-0.135023,1
25,1.079658,2.086766,1.002867,-0.519846,-1.784748,0
26,0.616796,1.640837,2.216414,-0.361777,-1.943873,0
27,1.061576,0.980109,1.056985,-0.000000,-3.091317,0
28,1.529978,2.539916,1.378794,-0.000000,-4.751579,0
29,1.401148,1.570583,1.065935,-0.000000,-4.378424,0
30,1.904575,1.267083,4.406333,-0.000000,-6.596011,0
31,1.692581,2.870114,4.624929,-0.000000,-5.726681,0
