Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,1.997416,0.960064,0.365837,-0.000000,-6.969844,0
1,0.794696,1.738083,1.546492,-0.727067,-3.790765,1
2,1.997416,0.960064,0.368282,-0.000000,-6.969844,0
3,0.368234,0.762907,2.678433,-0.999179,-1.230586,1
4,0.798110,1.456309,0.942648,-0.689610,-3.861134,1
5,0.830232,1.277351,0.230806,-0.625444,-4.253601,1
6,1.995172,1.385656,0.683295,-0.000000,-6.961273,0
7,1.528353,1.400036,0.243921,-0.999044,-1.602803,1
8,1.999883,0.899551,3.514602,-0.000000,-6.986983,0
9,0.350714,0.762907,2.678433,-0.999968,-1.183299,1
10,1.110166,2.230416,0.943706,-0.443098,-5.106473,0
11,1.527222,1.944240,0.022004,-0.160593,-6.663788,0
12,0.889251,2.685212,1.673322,-0.998188,-2.483285,1
13,1.980259,1.277351,0.189320,-0.000000,-6.908925,0
14,0.891814,2.689483,1.673322,-0.995793,-2.493636,1
15,1.976394,1.583826,0.101446,-0.000006,-6.895018,0
16,1.999984,0.703987,1.003698,-0.000000,-6.977916,0
17,1.999916,0.703987,3.662923,-0.000000,-6.986983,0
18,0.765698,1.520929,1.333628,-0.816665,-3.564498,1
19,1.704307,2.065864,0.168746,-0.366138,-6.354405,0
20,0.903317,2.689483,1.673322,-0.973860,-2.538199,1
21,1.819120,2.120463,0.168746,-0.381687,-6.027763,0
22,1.999883,0.891193,3.469096,-0.000000,-6.986983,0
