n_evals,igd_all
10,0.5012285908197667
20,0.32844544259002617
30,0.3280475228903563
40,0.3283195089877955
50,0.2049836171320463
60,0.2049836171320463
70,0.16264429494976892
80,0.1403991507804285
90,0.14040261650264557
100,0.13142092007483075
103,0.2689745941860135
115,0.2689339511651872
127,0.26892343421694875
139,0.26980006153029384
151,0.2694135328155219
157,0.17938887407934215
166,0.1833706191602499
175,0.17369540749364606
184,0.1735940864799046
193,0.1735940864799046
199,0.26544285242046206
226,0.2654418075201072
253,0.22930188426403028
280,0.23019942908655672
307,0.2285170079800854
317,0.2285170079800854
371,0.22606538532147052
425,0.22582618241894367
479,0.22584618876351045
533,0.18708973808056703
560,0.11151483355840086
590,0.11151466446225494
620,0.11151445232270411
650,0.11151727499163082
680,0.11122180690983285
713,0.11122180690983285
762,0.11119896552161275
811,0.09694130259846959
860,0.09694130259846959
909,0.09454061509306513
936,0.09454061509306513
979,0.09431394853206941
1022,0.08039329441659666
1065,0.07870649067238865
1108,0.07868751009183904
