n_evals,gd_all_default
10,0.32029070590534353
20,0.2788654428055012
30,0.2888616379326334
40,0.2618839846282907
50,0.14791468691400225
60,0.14791468691400225
70,0.12338857241303994
80,0.13398942164062794
90,0.1728813662696772
100,0.1940153429908598
103,0.01402841663377028
115,0.014522665645007607
127,0.014232602935099281
139,0.013801198628544144
151,0.01465744164937142
157,0.02181487452327313
166,0.03824586587661439
175,0.026079529712339143
184,0.030368438924398597
193,0.030368438924398597
199,0.017716576261337814
226,0.017659803001607112
253,0.021818548578534266
280,0.02023742094413308
307,0.024604182785068922
317,0.024604182785068922
371,0.023489986597091318
425,0.024806186441108796
479,0.021845258888769262
533,0.08776219070766791
560,0.10116366652619792
590,0.1085293998882456
620,0.09503390487703003
650,0.12382504021417334
680,0.1271908697636187
713,0.11565322393003925
762,0.11991885571274867
811,0.06927018880681984
860,0.0651497088131925
909,0.08226056392574815
936,0.08226056392574815
979,0.08567035764516907
1022,0.07267854988205834
1065,0.07220087402549992
1108,0.08552572412713481
