n_evals,gd_global_default
10,0.32029070590534353
20,0.2656516394419371
30,0.31959253212058875
40,0.3203484923529086
50,0.2066227834115623
60,0.191173284333257
70,0.1447082831358153
80,0.14242767430705203
90,0.14777042728295117
100,0.15467265350801215
103,0.14864504335625886
115,0.1413951851015967
127,0.15080983038655324
139,0.1502611288013056
151,0.16419577053868856
157,0.15181482305908725
166,0.15170139659631995
175,0.13946866964806856
184,0.12993870416960404
193,0.12067928227258404
199,0.11431045509663068
226,0.11064209993609549
253,0.10256723163086261
280,0.09685562959113873
307,0.09678293119207634
317,0.09114396647277892
371,0.1282949278797096
425,0.11575083800836407
479,0.1049635036882844
533,0.11662312124818368
560,0.11328387902823474
590,0.11342754949048348
620,0.07893205017978251
650,0.0913886993165907
680,0.09652976045439518
713,0.09962326189898467
762,0.11885056795265775
811,0.0658416433072342
860,0.05932519489775404
909,0.05103255444739234
936,0.0561737511298046
979,0.061883026497580866
1022,0.0636145188437065
1065,0.06414592892691692
1108,0.07642072949261391
