n_evals,hv_all
10,0.05334856283162484
20,0.07608678920621009
30,0.0761720672975921
40,0.07915080156341514
50,0.21817551067914742
60,0.21817551067914742
70,0.30425911820544926
80,0.32990161473457535
90,0.33315620637359916
100,0.3331912212937595
103,0.3331912212937595
115,0.33319158244304226
127,0.33321215297216933
139,0.33321233077505563
151,0.33360309088494916
157,0.33360309088494916
166,0.3336041338006692
175,0.33684063578411627
184,0.3390965549921821
193,0.3390965549921821
199,0.3390965549921821
226,0.3391077744181155
253,0.33946559283913214
280,0.33982626358853624
307,0.33985027810784446
317,0.33985027810784446
371,0.3445041270539491
425,0.3445075200519304
479,0.3445075217447896
533,0.34468503825670177
560,0.34468503825670177
590,0.34468504898279057
620,0.34468655417610494
650,0.34468776174913396
680,0.3450063074868537
713,0.3450063074868537
762,0.34501051382382214
811,0.38384937438542016
860,0.38384937446025663
909,0.4022949655495926
936,0.4022949655495926
979,0.40272112773290364
1022,0.4262785845869485
1065,0.43931016980628895
1108,0.439421271477255
