n_evals,sp
10,0.21669694248458218
20,0.18813072504021103
30,0.20788477795050697
40,0.18847491977547548
50,0.17574752930241883
60,0.17574752930241883
70,0.179041802653546
80,0.17759684801997153
90,0.16861591524247996
100,0.15455667269062717
103,0.5
115,0.6225054101218584
127,0.6229717341242389
139,0.6232632496624732
151,0.48698605723230304
157,0.22798698691262725
166,0.3660254045181903
175,0.27142537544286754
184,0.2430650271059334
193,0.2430650271059334
199,0.37711558777310117
226,0.37710969058621224
253,0.20432397702312854
280,0.20554496785086737
307,0.21967625796636162
317,0.21967625796636162
371,0.21644377258004713
425,0.17700490066820096
479,0.1537054034909641
533,0.1115563390154874
560,0.07692307692307708
590,0.07142857142857151
620,0.0684597857359684
650,0.06845067019534454
680,0.06843343032422931
713,0.06206890972892737
762,0.0639864524622905
811,0.07092505407191513
860,0.07641170848983236
909,0.07627276419462958
936,0.07627276419462958
979,0.06407999109334182
1022,0.06451612903225785
1065,0.0540540540540542
1108,0.058726553495322194
