n_evals,sp_global
10,0.21669694248458218
20,0.10672543020994947
30,0.09863480418619898
40,0.0635507758321554
50,0.07407407407407403
60,0.054054054054054126
70,0.05555555555555548
80,0.04347826086956521
90,0.035714285714285726
100,0.03030303030303034
103,0.028985507246376965
115,0.026994653402271925
127,0.02941176470588228
139,0.029411764705882384
151,0.032060567471959026
157,0.029411764705882294
166,0.02941176470588235
175,0.02666666666666671
184,0.024390243902438893
193,0.02222222222222202
199,0.020833333333333523
226,0.020202020202020277
253,0.018348623853210868
280,0.017241379310344893
307,0.017094017094017123
317,0.015748031496062978
371,0.02310302701611928
425,0.02040816326530626
479,0.01818181818181817
533,0.02061855670103108
560,0.016129032258064606
590,0.014814814814814883
620,0.014717233176241847
650,0.012820512820512749
680,0.011764705882352986
713,0.009852216748768619
762,0.010036796688919188
811,0.010416666666666699
860,0.011049723756905895
909,0.014679365758103313
936,0.012269938650306754
979,0.011428571428571514
1022,0.010309278350515566
1065,0.00877192982456152
1108,0.008720250944665265
