n_evals,gd_global_default
100,0.1898475288093288
200,0.17900560407068442
300,0.11981258263181636
400,0.17816536872287175
500,0.1968544361809455
600,0.19849312826316334
700,0.17241738980677843
800,0.09513050814699707
900,0.10727695075366733
1000,0.07281939432408091
