Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.471832,0.713202,1.011740,-0.999958,-1.503915,1
1,0.471832,0.713202,1.011740,-0.999958,-1.503915,1
2,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
3,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
4,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
5,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
6,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
7,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
8,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
9,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
10,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
11,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
12,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
13,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
14,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
15,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
16,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
17,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
18,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
19,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
20,0.726184,2.138015,2.330135,-0.999172,-2.051064,1
21,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
22,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
23,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
24,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
25,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
26,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
27,0.728431,2.181459,2.364180,-0.997109,-2.059860,1
28,0.468302,0.712352,0.738845,-0.996346,-2.178911,1
29,0.468302,0.712352,0.738845,-0.996346,-2.178911,1
30,0.468302,0.712352,0.738845,-0.996346,-2.178911,1
