Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.723616,2.148303,2.468512,-0.828766,-2.050889,1
1,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
2,1.199094,2.211187,0.735356,-0.410050,-4.269554,0
3,1.956091,0.789938,0.026382,-0.000000,-6.800988,0
4,1.985882,2.169787,2.689108,-0.000000,-6.929009,0
5,0.723616,2.148994,2.468512,-0.830339,-2.050889,1
6,1.985882,2.169787,2.689108,-0.000000,-6.929009,0
7,1.199094,2.210495,0.735356,-0.412182,-4.269554,0
8,1.956091,0.789938,0.026382,-0.000000,-6.800988,0
9,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
10,1.985882,2.169787,2.689108,-0.000000,-6.929009,0
11,0.723616,2.169710,2.453649,-0.914466,-2.050889,1
12,1.199094,2.210495,0.735356,-0.412182,-4.269554,0
13,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
14,1.966380,2.211041,0.729422,-0.000000,-6.731939,0
15,1.985882,2.169787,2.689108,-0.000000,-6.929009,0
16,0.723616,2.169710,2.453649,-0.914466,-2.050889,1
17,1.199094,2.210495,0.735356,-0.412182,-4.269554,0
18,1.966380,2.211041,0.729422,-0.000000,-6.731939,0
19,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
20,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
21,0.723616,2.169710,2.453649,-0.914466,-2.050889,1
22,1.199094,2.210350,0.735356,-0.412628,-4.269554,0
23,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
24,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
25,0.723616,2.169710,2.453649,-0.914466,-2.050889,1
26,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
27,1.199094,2.210350,0.735356,-0.412628,-4.269554,0
28,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
29,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
30,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
31,0.723616,2.170157,2.453649,-0.915228,-2.050889,1
32,1.199094,2.209903,0.735356,-0.414002,-4.269554,0
33,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
34,1.176749,2.210506,0.715381,-0.321373,-5.625117,0
35,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
36,0.723616,2.170157,2.453649,-0.915228,-2.050889,1
37,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
38,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
39,0.732451,2.169625,2.458868,-0.736046,-2.066889,1
40,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
41,0.723616,2.170157,2.453649,-0.915228,-2.050889,1
42,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
43,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
44,0.732451,2.169625,2.458868,-0.736046,-2.066889,1
45,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
46,0.723616,2.170157,2.453649,-0.915228,-2.050889,1
47,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
48,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
49,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
50,0.723616,2.170157,2.453649,-0.915228,-2.050889,1
51,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
52,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
53,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
54,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
55,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
56,0.475323,0.686878,1.019595,-0.980813,-1.516801,1
57,1.998294,2.169788,3.098894,-0.000000,-6.981478,0
58,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
59,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
60,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
61,0.723616,2.170157,2.447123,-0.947801,-2.050889,1
62,1.965318,2.198729,3.098894,-0.000000,-6.841658,0
63,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
64,0.475323,0.686878,1.019595,-0.980813,-1.516801,1
65,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
66,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
67,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
68,0.723616,2.170157,2.447123,-0.947801,-2.050889,1
69,1.965318,2.198729,3.098894,-0.000000,-6.841658,0
70,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
71,1.999366,2.169788,3.127513,-0.000000,-6.984844,0
72,1.999366,2.169788,3.127513,-0.000000,-6.984844,0
73,0.474711,0.714292,1.023027,-0.990551,-1.514835,1
74,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
75,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
76,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
77,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
78,1.965318,2.198729,3.098894,-0.000000,-6.841658,0
79,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
80,0.474711,0.714292,1.023027,-0.990551,-1.514835,1
81,1.999948,2.311528,2.340877,-0.000000,-6.986983,0
82,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
83,1.190258,2.210504,0.742132,-0.472611,-5.657363,0
84,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
85,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
86,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
87,1.966279,2.169788,3.127513,-0.000000,-6.845651,0
88,0.474711,0.714292,1.023027,-0.990551,-1.514835,1
89,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
90,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
91,1.190258,2.210504,0.742132,-0.472611,-5.657363,0
92,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
93,1.779802,2.210506,0.715381,-0.000000,-6.017839,0
94,1.966279,2.169788,3.127513,-0.000000,-6.845651,0
95,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
96,1.999948,2.311528,2.340877,-0.000000,-6.986983,0
97,0.474711,0.714292,1.023027,-0.990551,-1.514835,1
98,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
99,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
100,1.190258,2.210504,0.742132,-0.472611,-5.657363,0
101,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
102,1.966279,2.169788,3.127513,-0.000000,-6.845651,0
103,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
104,1.999948,2.311528,2.340877,-0.000000,-6.986983,0
105,0.485618,0.714292,1.023027,-0.985290,-1.538840,1
106,1.204265,2.169721,0.604020,-0.299995,-5.783107,0
107,1.792403,2.599462,0.715381,-0.000000,-6.033375,0
108,1.190258,2.210436,0.730017,-0.456855,-5.682159,0
109,0.730207,2.179153,2.414184,-0.959534,-2.062596,1
110,1.999948,2.311528,2.340877,-0.000000,-6.986983,0
111,0.465348,0.687598,1.019595,-0.995286,-1.484120,1
112,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
113,1.190258,2.210504,0.742132,-0.472611,-5.657363,0
114,1.204265,2.169721,0.604020,-0.299995,-5.783107,0
115,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
116,1.792403,2.599462,0.715381,-0.000000,-6.033375,0
117,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
118,1.867768,2.599462,0.712759,-0.000000,-6.317795,0
119,1.966279,2.169788,3.127513,-0.000000,-6.845651,0
120,0.485618,0.714292,1.023027,-0.985290,-1.538840,1
121,1.983241,1.854045,3.085189,-0.000000,-6.919511,0
122,0.474711,0.714292,1.023027,-0.990551,-1.514835,1
123,0.465348,0.687598,1.019595,-0.995286,-1.484120,1
124,1.999948,2.311528,2.340877,-0.000000,-6.986983,0
125,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
126,1.190258,2.210504,0.742132,-0.472611,-5.657363,0
127,1.204265,2.169721,0.604020,-0.299995,-5.783107,0
128,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
129,1.792403,2.599462,0.715381,-0.000000,-6.033375,0
130,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
131,0.485618,0.714292,1.023027,-0.985290,-1.538840,1
132,1.867768,0.746148,0.712759,-0.000000,-6.438647,0
133,1.941306,0.617938,1.019595,-0.000000,-6.744960,0
134,1.867768,2.599462,0.712759,-0.000000,-6.317795,0
135,1.966279,2.169788,3.127513,-0.000000,-6.845651,0
136,0.465348,0.687598,1.019595,-0.995286,-1.484120,1
137,1.999948,2.311528,2.340877,-0.000000,-6.986983,0
138,1.204271,2.170635,0.730137,-0.490144,-3.492232,0
139,0.465348,0.712963,1.019595,-0.661576,-2.114802,1
140,1.204265,2.169721,0.604020,-0.299995,-5.783107,0
141,1.190258,2.210504,0.742132,-0.472611,-5.657363,0
142,0.730207,2.207013,2.414184,-0.982609,-2.062596,1
143,1.792403,2.599462,0.715381,-0.000000,-6.033375,0
144,1.190258,2.210436,0.730137,-0.456855,-5.682159,0
145,1.867768,2.675199,0.707689,-0.000000,-6.324855,0
146,0.485618,0.714292,1.023027,-0.985290,-1.538840,1
147,1.997127,2.210504,0.742132,-0.000000,-6.837435,0
148,1.966279,2.169788,3.127513,-0.000000,-6.845651,0
149,0.465348,0.687598,1.019595,-0.995286,-1.484120,1
150,0.474711,0.714292,1.023027,-0.990551,-1.514835,1
151,0.485618,0.714292,1.023027,-0.985290,-1.538840,1
