Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.723616,2.148303,2.468512,-0.828766,-2.050889
1,0.465348,0.712963,1.019595,-0.661576,-2.114802
2,0.723616,2.148994,2.468512,-0.830339,-2.050889
3,0.465348,0.712963,1.019595,-0.661576,-2.114802
4,0.723616,2.169710,2.453649,-0.914466,-2.050889
5,0.465348,0.712963,1.019595,-0.661576,-2.114802
6,0.723616,2.169710,2.453649,-0.914466,-2.050889
7,0.465348,0.712963,1.019595,-0.661576,-2.114802
8,0.723616,2.169710,2.453649,-0.914466,-2.050889
9,0.465348,0.712963,1.019595,-0.661576,-2.114802
10,0.723616,2.169710,2.453649,-0.914466,-2.050889
11,0.465348,0.712963,1.019595,-0.661576,-2.114802
12,0.723616,2.170157,2.453649,-0.915228,-2.050889
13,0.465348,0.712963,1.019595,-0.661576,-2.114802
14,0.723616,2.170157,2.453649,-0.915228,-2.050889
15,0.465348,0.712963,1.019595,-0.661576,-2.114802
16,0.732451,2.169625,2.458868,-0.736046,-2.066889
17,0.723616,2.170157,2.453649,-0.915228,-2.050889
18,0.465348,0.712963,1.019595,-0.661576,-2.114802
19,0.732451,2.169625,2.458868,-0.736046,-2.066889
20,0.723616,2.170157,2.453649,-0.915228,-2.050889
21,0.465348,0.712963,1.019595,-0.661576,-2.114802
22,0.723616,2.170157,2.453649,-0.915228,-2.050889
23,0.465348,0.712963,1.019595,-0.661576,-2.114802
24,0.475323,0.686878,1.019595,-0.980813,-1.516801
25,0.465348,0.712963,1.019595,-0.661576,-2.114802
26,0.723616,2.170157,2.447123,-0.947801,-2.050889
27,0.475323,0.686878,1.019595,-0.980813,-1.516801
28,0.465348,0.712963,1.019595,-0.661576,-2.114802
29,0.723616,2.170157,2.447123,-0.947801,-2.050889
30,0.474711,0.714292,1.023027,-0.990551,-1.514835
31,0.465348,0.712963,1.019595,-0.661576,-2.114802
32,0.730207,2.207013,2.414184,-0.982609,-2.062596
33,0.474711,0.714292,1.023027,-0.990551,-1.514835
34,0.465348,0.712963,1.019595,-0.661576,-2.114802
35,0.730207,2.207013,2.414184,-0.982609,-2.062596
36,0.474711,0.714292,1.023027,-0.990551,-1.514835
37,0.730207,2.207013,2.414184,-0.982609,-2.062596
38,0.465348,0.712963,1.019595,-0.661576,-2.114802
39,0.474711,0.714292,1.023027,-0.990551,-1.514835
40,0.730207,2.207013,2.414184,-0.982609,-2.062596
41,0.465348,0.712963,1.019595,-0.661576,-2.114802
42,0.485618,0.714292,1.023027,-0.985290,-1.538840
43,0.730207,2.179153,2.414184,-0.959534,-2.062596
44,0.465348,0.687598,1.019595,-0.995286,-1.484120
45,0.465348,0.712963,1.019595,-0.661576,-2.114802
46,0.730207,2.207013,2.414184,-0.982609,-2.062596
47,0.485618,0.714292,1.023027,-0.985290,-1.538840
48,0.474711,0.714292,1.023027,-0.990551,-1.514835
49,0.465348,0.687598,1.019595,-0.995286,-1.484120
50,0.465348,0.712963,1.019595,-0.661576,-2.114802
51,0.730207,2.207013,2.414184,-0.982609,-2.062596
52,0.485618,0.714292,1.023027,-0.985290,-1.538840
53,0.465348,0.687598,1.019595,-0.995286,-1.484120
54,0.465348,0.712963,1.019595,-0.661576,-2.114802
55,0.730207,2.207013,2.414184,-0.982609,-2.062596
56,0.485618,0.714292,1.023027,-0.985290,-1.538840
57,0.465348,0.687598,1.019595,-0.995286,-1.484120
58,0.474711,0.714292,1.023027,-0.990551,-1.514835
59,0.485618,0.714292,1.023027,-0.985290,-1.538840
60,0.730207,2.207013,2.414184,-0.982609,-2.062596
61,0.465348,0.712963,1.019595,-0.661576,-2.114802
62,0.465348,0.687598,1.019595,-0.995286,-1.484120
63,0.474711,0.714292,1.023027,-0.990551,-1.514835
64,0.485618,0.714292,1.023027,-0.985290,-1.538840
65,0.730207,2.207013,2.414184,-0.982609,-2.062596
66,0.465348,0.712963,1.019595,-0.661576,-2.114802
67,0.517933,0.714292,1.023027,-0.654413,-1.614681
68,0.465348,0.687598,1.019595,-0.995286,-1.484120
69,0.474711,0.714292,1.023027,-0.990551,-1.514835
70,0.465348,0.712963,1.019595,-0.661576,-2.114802
71,0.730207,2.207013,2.340610,-0.989939,-2.062596
72,0.485618,0.714292,1.023027,-0.985290,-1.538840
73,0.730207,2.207013,2.414184,-0.982609,-2.062596
74,0.465348,0.687598,1.019595,-0.995286,-1.484120
75,0.474711,0.714292,1.023027,-0.990551,-1.514835
76,0.465348,0.712963,1.019595,-0.661576,-2.114802
77,0.730207,2.207013,2.340610,-0.989939,-2.062596
78,0.485618,0.714292,1.023027,-0.985290,-1.538840
79,0.467533,0.717959,0.859215,-0.601589,-2.113275
80,0.465348,0.687598,1.019595,-0.995286,-1.484120
81,0.474711,0.714292,1.023027,-0.990551,-1.514835
82,0.465348,0.712963,1.019595,-0.661576,-2.114802
83,0.730207,2.207013,2.340610,-0.989939,-2.062596
84,0.465348,0.712963,1.013330,-0.661576,-2.114802
85,0.485618,0.714292,1.023027,-0.985290,-1.538840
86,0.467533,0.717959,0.859215,-0.601589,-2.113275
87,0.465348,0.687598,1.019595,-0.995286,-1.484120
88,0.474711,0.714292,1.023027,-0.990551,-1.514835
89,0.730207,2.207013,2.340610,-0.989939,-2.062596
90,0.465348,0.712963,1.019595,-0.661576,-2.114802
91,0.465348,0.712963,1.013330,-0.661576,-2.114802
92,0.465348,0.687598,1.019595,-0.995286,-1.484120
93,0.474711,0.714292,1.023027,-0.990551,-1.514835
94,0.730207,2.207013,2.340610,-0.989939,-2.062596
95,0.465348,0.712963,1.019595,-0.661576,-2.114802
96,0.465348,0.712963,1.013330,-0.661576,-2.114802
97,0.465348,0.707654,1.019595,-0.984012,-2.096183
98,0.465348,0.687598,1.023471,-0.995123,-1.484120
99,0.730207,2.306920,2.340610,-0.989576,-2.062596
100,0.479140,0.689617,1.019595,-0.975164,-1.526677
101,0.730207,2.207013,2.340610,-0.989939,-2.062596
102,0.465348,0.712963,1.019595,-0.661576,-2.114802
103,0.465348,0.712963,1.013330,-0.661576,-2.114802
104,0.465348,0.707654,1.019595,-0.984012,-2.096183
105,0.726184,2.306920,2.330135,-0.997505,-2.051064
106,0.465348,0.687598,1.019595,-0.995286,-1.484120
107,0.730207,2.306920,2.340610,-0.989576,-2.062596
108,0.730207,2.207013,2.340610,-0.989939,-2.062596
109,0.465348,0.712963,1.019595,-0.661576,-2.114802
110,0.465348,0.712963,1.013330,-0.661576,-2.114802
111,0.465348,0.707654,1.019595,-0.984012,-2.096183
112,0.726184,2.306920,2.330135,-0.997505,-2.051064
113,0.456678,0.657124,0.622234,-0.860962,-2.113057
114,0.728393,2.164502,2.330135,-0.996647,-2.059293
115,0.465348,0.687598,1.019595,-0.995286,-1.484120
116,0.730207,2.306920,2.340610,-0.989576,-2.062596
117,0.730207,2.207013,2.340610,-0.989939,-2.062596
118,0.465348,0.712963,1.019595,-0.661576,-2.114802
119,0.465348,0.712963,1.013330,-0.661576,-2.114802
120,0.465348,0.707654,1.019595,-0.984012,-2.096183
121,0.726184,2.306920,2.330135,-0.997505,-2.051064
122,0.456678,0.657124,0.622234,-0.860962,-2.113057
123,0.728393,2.164502,2.330135,-0.996647,-2.059293
124,0.726184,2.306920,2.330135,-0.997505,-2.051064
125,0.728393,2.164502,2.330135,-0.996647,-2.059293
126,0.730207,2.207013,2.340610,-0.989939,-2.062596
127,0.465348,0.707654,1.019595,-0.984012,-2.096183
128,0.456678,0.657124,0.622234,-0.860962,-2.113057
129,0.465348,0.712963,1.019595,-0.661576,-2.114802
130,0.465348,0.712963,1.013330,-0.661576,-2.114802
131,0.728393,2.164502,2.330135,-0.996647,-2.059293
132,0.730207,2.207013,2.340610,-0.989939,-2.062596
133,0.465348,0.707654,1.019595,-0.984012,-2.096183
134,0.471832,0.631474,0.607589,-0.999471,-1.503915
135,0.468302,0.712963,1.019595,-0.975277,-2.179742
136,0.744000,2.341053,2.347782,-0.988466,-2.081452
137,0.726184,2.138015,2.330135,-0.999172,-2.051064
138,0.456678,0.657124,0.622234,-0.860962,-2.113057
139,0.465348,0.712963,1.019595,-0.661576,-2.114802
140,0.465348,0.712963,1.013330,-0.661576,-2.114802
141,0.726732,2.306920,2.330135,-0.978867,-2.051095
142,0.726184,2.306920,2.330135,-0.997505,-2.051064
143,0.493757,0.686048,1.019595,-0.698545,-1.559854
144,0.465348,0.707810,0.740542,-0.665467,-2.026498
145,0.730207,2.207013,2.340610,-0.989939,-2.062596
146,0.465348,0.707654,1.019595,-0.984012,-2.096183
147,0.468302,0.712963,1.019595,-0.975277,-2.179742
148,0.744000,2.341053,2.347782,-0.988466,-2.081452
149,0.726184,2.138015,2.330135,-0.999172,-2.051064
150,0.471832,0.631474,0.500186,-0.999671,-1.503915
151,0.728393,2.185321,2.364180,-0.996915,-2.059293
152,0.451121,0.714956,0.742132,-0.703745,-2.122173
153,0.456678,0.653728,0.622234,-0.866226,-2.113687
154,0.465348,0.720775,0.740542,-0.621221,-2.136700
155,0.745714,2.337931,2.362766,-0.977708,-2.081419
156,0.726184,2.306920,2.330135,-0.997505,-2.051064
157,0.471832,0.631474,0.607589,-0.999471,-1.503915
158,0.728393,2.164502,2.330135,-0.996647,-2.059293
159,0.726184,2.310927,2.330135,-0.997468,-2.051064
160,0.465348,0.712963,1.019595,-0.661576,-2.114802
161,0.456678,0.657124,0.622234,-0.860962,-2.113057
162,0.726732,2.306920,2.330135,-0.978867,-2.051095
163,0.468302,0.712963,1.019595,-0.975277,-2.179742
164,0.726184,2.138015,2.330135,-0.999172,-2.051064
165,0.471832,0.631474,0.500186,-0.999671,-1.503915
166,0.728393,2.185321,2.364180,-0.996915,-2.059293
167,0.468302,0.712352,0.738845,-0.996346,-2.178911
168,0.726184,2.310927,2.347917,-0.997676,-2.051064
169,0.471832,0.631474,0.607589,-0.999471,-1.503915
170,0.728393,2.164502,2.330135,-0.996647,-2.059293
171,0.465348,0.707654,1.019595,-0.984012,-2.096183
172,0.744000,2.341053,2.347782,-0.988466,-2.081452
173,0.451121,0.714956,0.742132,-0.703745,-2.122173
174,0.456678,0.653728,0.622234,-0.866226,-2.113687
175,0.465348,0.720775,0.740542,-0.621221,-2.136700
176,0.730207,2.166675,2.340610,-0.990091,-2.062596
177,0.726184,2.306920,2.330135,-0.997505,-2.051064
178,0.465348,0.712963,1.019595,-0.661576,-2.114802
179,0.456678,0.657124,0.622234,-0.860962,-2.113057
180,0.468302,0.712963,1.019595,-0.975277,-2.179742
181,0.726184,2.138015,2.330135,-0.999172,-2.051064
182,0.471832,0.631474,0.500186,-0.999671,-1.503915
183,0.728393,2.185321,2.364180,-0.996915,-2.059293
184,0.468302,0.712352,0.738845,-0.996346,-2.178911
185,0.726184,2.310927,2.347917,-0.997676,-2.051064
186,0.471832,0.631474,0.607589,-0.999471,-1.503915
187,0.728393,2.164502,2.330135,-0.996647,-2.059293
188,0.744000,2.341053,2.347782,-0.988466,-2.081452
189,0.730207,2.166675,2.340610,-0.990091,-2.062596
190,0.456678,0.657124,0.090539,-0.987358,-2.140001
191,0.726184,2.320963,2.347917,-0.997582,-2.051064
192,0.465348,0.720775,0.740542,-0.621221,-2.136700
193,0.456678,0.653728,0.622234,-0.866226,-2.113687
194,0.451121,0.714956,0.742132,-0.703745,-2.122173
195,0.465348,0.707654,1.019595,-0.984012,-2.096183
196,0.471832,0.631474,0.500186,-0.999671,-1.503915
197,0.726184,2.138015,2.330135,-0.999172,-2.051064
198,0.728393,2.185321,2.364180,-0.996915,-2.059293
199,0.468302,0.712352,0.738845,-0.996346,-2.178911
200,0.468302,0.712963,1.019595,-0.975277,-2.179742
201,0.471832,0.631474,0.500186,-0.999671,-1.503915
202,0.726184,2.138015,2.330135,-0.999172,-2.051064
203,0.728393,2.185321,2.364180,-0.996915,-2.059293
204,0.468302,0.712352,0.738845,-0.996346,-2.178911
205,0.468302,0.712963,1.019595,-0.975277,-2.179742
206,0.471832,0.642993,0.346751,-0.676786,-1.262135
207,0.431064,0.635299,0.738845,-0.639641,-1.039377
208,0.726184,2.138015,2.330135,-0.999172,-2.051064
209,0.728393,2.185321,2.364180,-0.996915,-2.059293
210,0.468302,0.712352,0.738845,-0.996346,-2.178911
211,0.468302,0.712963,1.019595,-0.975277,-2.179742
212,0.471832,0.716816,1.011740,-0.999925,-1.503915
213,0.471832,0.631474,0.500186,-0.999671,-1.503915
214,0.471832,0.642993,0.613204,-0.999650,-1.503915
215,0.726184,2.138015,2.330135,-0.999172,-2.051064
216,0.728393,2.185321,2.364180,-0.996915,-2.059293
217,0.468302,0.712352,0.738845,-0.996346,-2.178911
218,0.468302,0.712963,1.019595,-0.975277,-2.179742
219,0.471832,0.716816,1.011740,-0.999925,-1.503915
220,0.471832,0.631474,0.500186,-0.999671,-1.503915
221,0.471832,0.714519,0.522512,-0.713591,-2.034325
222,0.726184,2.138015,2.330135,-0.999172,-2.051064
223,0.468302,0.712352,0.738845,-0.996346,-2.178911
224,0.468302,0.712963,1.019595,-0.975277,-2.179742
225,0.471832,0.716816,1.011740,-0.999925,-1.503915
226,0.728393,2.181459,2.364180,-0.996942,-2.059293
227,0.471832,0.631474,0.500186,-0.999671,-1.503915
228,0.469084,0.712963,0.348603,-0.634774,-2.175365
229,0.471832,0.716816,1.011740,-0.999925,-1.503915
230,0.726184,2.138015,2.330135,-0.999172,-2.051064
231,0.728393,2.181459,2.364180,-0.996942,-2.059293
232,0.468302,0.712352,0.738845,-0.996346,-2.178911
233,0.468302,0.712963,1.019595,-0.975277,-2.179742
234,0.471832,0.716816,1.011740,-0.999925,-1.503915
235,0.726184,2.138015,2.330135,-0.999172,-2.051064
236,0.728393,2.181459,2.364180,-0.996942,-2.059293
237,0.468302,0.712352,0.738845,-0.996346,-2.178911
238,0.468302,0.712963,1.019595,-0.975277,-2.179742
239,0.728393,2.181459,2.360477,-0.996942,-2.059293
240,0.468302,0.712963,0.353350,-0.637391,-2.174541
241,0.461321,0.664822,0.547309,-0.838015,-2.112994
242,1.999948,2.023023,0.341332,-0.632895,-0.599890
