n_evals,gd_global_default
6,0.10575706915507566
12,0.07537623859740561
18,0.08812675425410035
24,0.09303558979457717
30,0.0955881842756251
36,0.09715267766723512
42,0.04875393986590823
48,0.05069533979283653
54,0.06007520991956219
60,0.06664111900827015
66,0.07149418224774994
75,0.11691560072130495
84,0.11792957653422528
93,0.053426978854985104
102,0.05898624938545839
109,0.0629240660112103
120,0.06539352115730093
131,0.051566397054538575
142,0.056357542079414125
153,0.05313909167456068
162,0.05583014394502233
179,0.05791570945463013
196,0.06942661579975357
213,0.06565853761029723
230,0.018341929268185928
238,0.01840443579787323
251,0.019387176903395205
264,0.01927001910739035
277,0.019107675749244345
290,0.020333665713552145
302,0.020064521061778525
325,0.018206004460092816
348,0.02007531583543632
371,0.02376370280645748
394,0.024604345734350067
410,0.02533698049220797
441,0.0212988261428216
472,0.025427152644743475
503,0.026596590364280498
534,0.029489080270037535
548,0.030735500914344606
585,0.029964887186985808
622,0.03070668470647243
659,0.03198292494607774
696,0.0309651644428851
716,0.03277124060170033
765,0.03487244454077292
814,0.037070588973539285
863,0.03886656031546759
912,0.03524781723896239
931,0.036194296385154694
976,0.020600397939891216
1021,0.01947948293491378
1066,0.020712143467019013
1111,0.022317226316989014
1129,0.023639059252258433
1174,0.024492489623674566
1219,0.026262807916141932
1264,0.02811012191567209
1309,0.02231166273482989
