n_evals,sp_global
6,0.3489481459275732
12,0.20000000000000004
18,0.16666666666666674
24,0.1111111111111109
30,0.08333333333333307
36,0.06666666666666661
42,0.0645161290322581
48,0.07407407407407403
54,0.0606060606060605
60,0.05128205128205121
66,0.04444444444444437
75,0.06084757869523051
84,0.05789839820434341
93,0.060606060606060434
102,0.05000000000000007
109,0.04255319148936167
120,0.03508771929824576
131,0.03930480600441004
142,0.03333333333333331
153,0.03221995661296385
162,0.028571428571428584
179,0.025316455696202365
196,0.03174603174603175
213,0.03221010538075229
230,0.047544343389376076
238,0.040000000000000015
251,0.034969490072737384
264,0.02985074626865659
277,0.025316455696202545
290,0.0240963855421684
302,0.02105263157894725
325,0.019801980198020083
348,0.01886440123536113
371,0.019375651563264804
394,0.016945121714549313
410,0.014925373134328335
441,0.013695271782041636
472,0.014184397163120588
503,0.01324169455299209
534,0.012905480803572286
548,0.012121212121211984
585,0.01282003146113424
622,0.01173934153535088
659,0.010810810810810971
696,0.009900990099009773
716,0.00900900900900921
765,0.010810810810810971
814,0.00966183574879206
863,0.009852216748768228
912,0.011106090519825551
931,0.010050251256281586
976,0.013245033112582653
1021,0.013242557172450138
1066,0.011976047904191867
1111,0.010810810810810763
1129,0.009852216748768296
1174,0.009216589861751258
1219,0.008333333333333335
1264,0.007751937984496375
1309,0.007462686567164113
