n_evals,gd_all_plus
6,0.0
12,0.0
18,0.0
24,0.0
30,0.0
36,0.0
42,0.0
48,0.0
54,0.0
60,0.0
66,0.0
75,0.0
84,0.0
93,0.0
102,0.0
109,0.0
120,0.0
131,0.0
142,0.0
153,0.0
162,0.0
179,0.0
196,0.0
213,0.0
230,0.0
238,0.0
251,0.0
264,0.0
277,0.0
290,0.0
302,0.0
325,0.0
348,0.0
371,0.0
394,0.0
410,0.0
441,0.0
472,0.0
503,0.0
534,0.0
548,0.0
585,0.0
622,0.0
659,0.0
696,0.0
716,0.0
765,0.0
814,0.0
863,0.0
912,0.0
931,0.0
976,0.0
1021,0.0
1066,0.0
1111,0.0
1129,0.0
1174,0.0
1219,0.0
1264,0.0
1309,0.0
