n_evals,igd_all
6,0.2826243038763761
12,0.2816379140060852
18,0.28164368359490033
24,0.28164368359490033
30,0.28164368359490033
36,0.28164368359490033
42,0.28089234887875003
48,0.28089452525390923
54,0.28089452525390923
60,0.28089452525390923
66,0.28089452525390923
75,0.28083873035381585
84,0.2808036813825816
93,0.2767376292833323
102,0.2767376292833323
109,0.2767376292833323
120,0.2767376292833323
131,0.19485409164772002
142,0.19485409164772002
153,0.17767035282048033
162,0.17767035282048033
179,0.17767035282048033
196,0.17749986328830347
213,0.1793462725989186
230,0.16387103971613728
238,0.16387103971613728
251,0.16386573315085695
264,0.16386573315085695
277,0.15154372060597807
290,0.15154372060597807
302,0.15154372060597807
325,0.15185359154459294
348,0.1293315435848999
371,0.12933151442294322
394,0.12933151123151443
410,0.12933151123151443
441,0.11220074632961194
472,0.10241248359680012
503,0.10241232029628837
534,0.10131398653935016
548,0.10131398653935016
585,0.09965357855916915
622,0.08954717077054802
659,0.08001231468171419
696,0.08001231468171419
716,0.08001231468171419
765,0.07996250601838746
814,0.0799604468827522
863,0.08317656080186502
912,0.08316175040514531
931,0.08316175040514531
976,0.08381720869073567
1021,0.08312376264144518
1066,0.08246114369562585
1111,0.08246114369562585
1129,0.08246114369562585
1174,0.08243407713012478
1219,0.08243407713012478
1264,0.0823744659159012
1309,0.08013414451008942
