n_evals,hv_all
6,0.1995096247574977
12,0.20255359738491266
18,0.20255557058970958
24,0.20255557058970958
30,0.20255557058970958
36,0.20255557058970958
42,0.20424930199511188
48,0.20425004627771712
54,0.20425004627771712
60,0.20425004627771712
66,0.20425004627771712
75,0.20426710747533
84,0.20427360181369172
93,0.216126850074544
102,0.216126850074544
109,0.216126850074544
120,0.21612685007455448
131,0.38301991192232665
142,0.38301991192232704
153,0.4003673158587661
162,0.4003673158587661
179,0.4003673158587661
196,0.40061548920843915
213,0.4202162103405448
230,0.42058186905328176
238,0.42058186905328176
251,0.4206039694825285
264,0.4206039694825285
277,0.4414742910400715
290,0.4414743167141027
302,0.4414743167141027
325,0.44147541733957346
348,0.44753839607053475
371,0.4475504057355238
394,0.4475535226043424
410,0.4475535226043424
441,0.45665764892973293
472,0.4934187044151971
503,0.49341920038200515
534,0.49424821659097434
548,0.49424821659097434
585,0.4985572825807062
622,0.5181269091114645
659,0.5272361104708133
696,0.5275258150305492
716,0.5275258150305492
765,0.5278772762965942
814,0.5278772779861667
863,0.5318224333193337
912,0.531823668006622
931,0.531823668006622
976,0.5365074887039555
1021,0.5431060602982833
1066,0.5453818568905714
1111,0.5453818568905714
1129,0.5453818568905714
1174,0.5459049615720097
1219,0.5477816550301468
1264,0.5479403503346123
1309,0.5512953427992973
