n_evals,igd_global
100,0.2026149982702099
200,0.15515707451723146
300,0.13757731955486832
400,0.137367587872351
500,0.11417416329753478
600,0.11181297132452157
700,0.10734299916504833
800,0.09619076663727953
900,0.08140697953585889
1000,0.07412584932593254
