Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
61,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
62,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
63,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
64,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
65,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
66,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
67,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
68,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
69,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
70,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
71,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
72,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
73,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
74,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
75,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
76,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
77,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
78,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
79,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
80,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
81,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
82,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
83,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
84,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
85,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
86,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
87,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
88,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
89,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
90,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
91,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
92,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
93,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
94,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
95,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
96,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
97,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
98,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
99,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
100,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
101,1.98,4.31,100,1.00,2.75,10.00,4.00,3.72,-1
102,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
103,1.98,4.31,100,0.00,0.00,0.16,3.00,10.00,-1
104,1.98,4.31,100,1.00,1.88,10.00,4.00,5.25,-1
105,1.98,4.31,100,0.00,0.00,0.85,3.00,10.00,-1
106,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
107,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
108,1.98,4.31,100,0.00,0.00,0.33,3.00,10.00,-1
109,1.98,4.31,100,1.00,1.84,10.00,4.00,5.50,-1
110,1.98,4.31,100,1.00,3.99,10.00,4.00,3.27,-1
111,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
112,1.98,4.31,100,1.00,3.18,10.00,4.00,3.43,-1
113,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
114,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
115,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
116,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
117,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
118,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
119,1.98,4.31,100,1.00,2.82,10.00,4.00,3.67,-1
120,1.98,4.31,100,1.00,1.62,10.00,4.00,6.13,-1
121,1.98,4.31,100,0.00,0.00,0.17,3.00,10.00,-1
122,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
123,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
124,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
125,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
126,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
127,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
128,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
129,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
130,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
131,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
132,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
133,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
134,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
135,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
136,1.98,4.31,100,1.00,1.55,10.00,4.00,6.64,-1
137,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
138,1.98,4.31,100,0.00,0.00,0.89,3.00,10.00,-1
139,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
140,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
141,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
142,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
143,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
144,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
145,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
146,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
147,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
148,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
149,1.98,4.31,100,0.00,0.00,0.52,3.00,10.00,-1
150,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
151,1.98,4.31,100,0.00,0.00,0.30,3.00,10.00,-1
152,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
153,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
154,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
155,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
