Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,1.227445,2.034875,0.538344,-0.531354,-3.530536,0
1,1.975692,2.815867,2.437061,-0.000000,-6.892839,0
2,0.965510,2.397309,1.463971,-0.809287,-2.758412,1
3,1.320517,2.076791,0.925361,-0.000008,-4.156033,0
4,1.929489,1.247899,0.026106,-0.000000,-6.696050,0
5,1.019124,2.665236,0.102932,-0.074090,-3.048133,0
6,0.327508,1.260578,3.088399,-0.332671,-1.127152,0
7,0.926963,2.143294,0.196354,-0.226668,-2.650309,0
8,1.921409,2.072449,2.782894,-0.000000,-6.667828,0
9,1.856871,1.304433,2.610655,-0.000000,-6.398921,0
10,1.636002,0.976093,0.168346,-0.000000,-5.501015,0
11,1.874663,1.142435,4.555223,-0.000000,-6.470477,0
12,1.748948,2.869838,1.040140,-0.000000,-5.666247,0
13,1.834182,1.432787,0.892610,-0.000000,-6.254918,0
14,1.717534,1.620067,0.925137,-0.000000,-5.677584,0
15,0.585333,1.990519,2.453956,-0.242522,-0.099789,0
16,0.919623,2.693331,2.004669,-0.000567,-2.570700,0
17,0.710012,2.218600,1.214969,-0.207743,-2.033763,0
18,1.237695,1.548706,1.446971,-0.000000,-3.696190,0
19,1.894659,2.089981,1.957932,-0.000000,-6.092660,0
20,1.454194,0.643333,0.485427,-0.000000,-4.744393,0
21,1.756740,2.232255,1.778554,-0.000000,-5.533836,0
22,1.496606,0.897117,1.298629,-0.000000,-4.919085,0
23,1.398949,1.477448,1.261147,-0.000000,-4.291000,0
24,1.501194,2.282242,1.606614,-0.000000,-4.572372,0
25,0.521788,1.396154,2.104163,-0.239416,-0.044058,0
26,0.896877,0.705671,0.851496,-0.000000,-2.512829,0
27,0.552156,1.762862,0.930082,-0.021881,-1.709189,0
28,1.719116,1.985160,0.352663,-0.164188,-0.125030,0
29,0.669932,1.262530,3.404374,-0.000000,-1.961122,0
30,0.354407,2.890563,3.963995,-0.056189,-1.208470,0
31,1.715052,0.618458,2.237600,-0.000000,-5.819221,0
32,1.719758,0.598824,2.987668,-0.000000,-5.835596,0
33,1.758618,1.489408,2.513451,-0.000000,-5.998602,0
34,1.687690,1.223121,1.696999,-0.000000,-5.282667,0
35,0.971618,0.799419,1.620400,-0.000000,-2.720115,0
36,1.208056,1.125162,2.444292,-0.000000,-3.496060,0
37,1.093905,0.736741,1.386717,-0.000000,-3.198282,0
38,1.161589,1.167658,2.422599,-0.000000,-3.238850,0
39,0.838979,1.292170,2.524932,-0.000000,-2.397005,0
40,0.539693,1.415103,4.164723,-0.000000,-1.676107,0
