Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.965510,2.397309,1.463971,-0.809287,-2.758412
1,0.965510,2.397309,1.463971,-0.809287,-2.758412
2,0.631987,1.396154,2.104163,-0.996843,-1.885593
3,0.503640,1.259216,2.237542,-0.643007,-2.900309
4,0.609094,1.597776,2.689241,-0.956247,-1.841075
5,0.521788,0.984197,2.104163,-0.905629,-1.626502
6,0.965510,2.397309,1.463971,-0.809287,-2.758412
7,0.631987,1.396154,2.104163,-0.996843,-1.885593
8,0.503640,1.259216,2.237542,-0.643007,-2.900309
9,0.473363,1.374379,2.963427,-0.928824,-2.686629
10,0.631987,1.396154,2.108026,-0.996843,-1.885593
11,0.966485,2.330818,1.456922,-0.754822,-2.761754
12,0.609094,1.597776,2.689241,-0.956247,-1.841075
13,0.521788,0.988203,2.104163,-0.925628,-1.626502
14,0.521788,0.984197,2.104163,-0.905629,-1.626502
15,0.965510,2.397309,1.463971,-0.809287,-2.758412
16,0.631987,1.396154,2.104163,-0.996843,-1.885593
17,0.503640,1.259216,2.237542,-0.643007,-2.900309
18,0.473363,1.374379,2.963427,-0.928824,-2.686629
19,0.631987,1.396154,2.108026,-0.996843,-1.885593
20,0.966485,2.330818,1.456922,-0.754822,-2.761754
21,0.961941,2.397309,1.489971,-0.791296,-2.745276
22,0.609094,1.602695,2.689241,-0.964131,-1.841075
23,0.473363,1.374379,2.862073,-0.622925,-2.501192
24,0.609094,1.597776,2.689241,-0.956247,-1.841075
25,0.521788,0.988203,2.104163,-0.925628,-1.626502
26,0.521788,0.984197,2.104163,-0.905629,-1.626502
27,0.521788,0.984197,2.113660,-0.889051,-1.626502
28,0.899876,0.970698,0.103870,-0.632432,-1.063848
29,0.965510,2.397309,1.463971,-0.809287,-2.758412
30,0.631987,1.396154,2.104163,-0.996843,-1.885593
31,0.473363,1.374379,2.963427,-0.928824,-2.686629
32,0.631987,1.396154,2.108026,-0.996843,-1.885593
33,0.966485,2.330818,1.456922,-0.754822,-2.761754
34,0.968301,2.397309,1.463971,-0.750746,-2.768690
35,0.722175,1.190794,0.533766,-0.664893,-3.715057
36,0.961941,2.397309,1.489971,-0.791296,-2.745276
37,0.609094,1.602695,2.545046,-0.987433,-1.841075
