Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.540337,2.208385,3.377424,-0.922300,-1.681429
1,0.540337,2.208385,3.377424,-0.922300,-1.681429
2,0.540337,2.208385,3.377424,-0.922300,-1.681429
3,0.540337,2.208385,3.377424,-0.922300,-1.681429
4,0.540337,2.212251,3.377424,-0.922302,-1.681429
5,0.540337,2.212251,3.377424,-0.922302,-1.681429
6,0.540337,2.295180,3.377424,-0.955492,-1.681420
7,0.540337,2.212251,3.377424,-0.922302,-1.681429
8,0.500663,2.295180,3.843545,-0.994168,-1.567434
9,0.540337,2.212251,3.377424,-0.922302,-1.681429
10,0.540337,2.295180,3.377424,-0.955492,-1.681420
11,0.500663,2.295180,3.843545,-0.994168,-1.567434
12,0.540337,2.212251,3.377424,-0.922302,-1.681429
13,0.540337,2.295180,3.377424,-0.955492,-1.681420
14,0.500663,2.293241,3.843545,-0.994271,-1.567434
15,0.540337,2.212251,3.377424,-0.922302,-1.681429
16,0.500663,2.293241,3.843545,-0.994271,-1.567434
17,0.540337,2.212251,3.377424,-0.922302,-1.681429
18,0.540337,2.212251,3.377424,-0.922302,-1.681429
19,0.500663,2.290380,3.843765,-0.994424,-1.567434
20,0.500663,2.290380,3.843765,-0.994424,-1.567434
21,0.540337,2.212251,3.377424,-0.922302,-1.681429
22,0.500663,2.290380,3.843765,-0.994424,-1.567434
23,0.540337,2.212251,3.377424,-0.922302,-1.681429
24,0.500663,2.255430,3.843765,-0.996308,-1.567434
25,0.540337,2.212251,3.377424,-0.922302,-1.681429
26,0.500663,2.255430,3.843765,-0.996308,-1.567434
27,0.540337,2.212251,3.377424,-0.922302,-1.681429
28,0.500663,2.255430,3.843765,-0.996308,-1.567434
29,0.540337,2.212251,3.377424,-0.922302,-1.681429
30,0.500663,2.015859,3.550590,-0.816524,-1.568903
31,0.500663,2.255430,3.843765,-0.996308,-1.567434
32,0.540337,2.212251,3.377424,-0.922302,-1.681429
33,0.540337,2.212251,3.553195,-0.993519,-1.681257
34,0.500663,2.255430,3.843765,-0.996308,-1.567434
35,0.540337,2.212251,3.377424,-0.922302,-1.681429
36,0.540337,2.212251,3.553195,-0.993519,-1.681257
37,0.500663,2.249714,3.843765,-0.996620,-1.567434
38,0.540337,2.212251,3.377424,-0.922302,-1.681429
39,0.540337,2.212251,3.553195,-0.993519,-1.681257
40,0.500663,2.249714,3.843765,-0.996620,-1.567434
41,0.540337,2.212251,3.553195,-0.993519,-1.681257
42,0.540337,2.212251,3.377424,-0.922302,-1.681429
43,0.500663,2.249714,3.843765,-0.996620,-1.567434
44,0.540337,2.212251,3.553195,-0.993519,-1.681257
45,0.540337,2.212251,3.377424,-0.922302,-1.681429
46,0.500663,2.265741,3.791707,-0.989931,-1.567434
47,0.501690,1.009542,2.455102,-0.731412,-1.567589
48,0.481958,1.012644,2.471682,-0.981172,-1.531297
49,0.500663,2.249714,3.843765,-0.996620,-1.567434
50,0.540337,2.212251,3.553195,-0.993519,-1.681257
51,0.540337,2.212251,3.377424,-0.922302,-1.681429
52,0.500663,2.265644,3.845186,-0.995753,-1.567434
53,0.501690,1.009542,2.455102,-0.731412,-1.567589
54,0.500663,2.249714,3.843765,-0.996620,-1.567434
55,0.540337,2.212251,3.553195,-0.993519,-1.681257
56,0.540337,2.212251,3.377424,-0.922302,-1.681429
57,0.500663,2.265644,3.845186,-0.995753,-1.567434
58,0.501690,1.009542,2.455102,-0.731412,-1.567589
59,0.500663,2.249714,3.843765,-0.996620,-1.567434
60,0.540337,2.212251,3.553195,-0.993519,-1.681257
61,0.540337,2.212251,3.377424,-0.922302,-1.681429
62,0.500663,2.265644,3.845186,-0.995753,-1.567434
63,0.507062,1.009542,2.456794,-0.605115,-1.574104
64,0.501690,1.009542,2.455102,-0.731412,-1.567589
65,0.500663,2.249714,3.843765,-0.996620,-1.567434
66,0.540337,2.212251,3.553195,-0.993519,-1.681257
67,0.540337,2.212251,3.377424,-0.922302,-1.681429
68,0.500663,2.249714,3.843765,-0.996620,-1.567434
69,0.540337,2.212251,3.377424,-0.922302,-1.681429
