Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.944021,2.534666,1.526183,-0.965547,-2.682137
1,0.944021,2.534666,1.526183,-0.965547,-2.682137
2,0.932068,2.537509,1.527096,-0.998048,-2.641265
3,0.944021,2.534666,1.502258,-0.955963,-2.682137
4,0.382278,0.942746,3.383528,-0.997562,-1.263737
5,0.598012,0.987693,1.701513,-0.765370,-1.802893
6,0.264900,0.619925,4.055978,-0.788934,-0.963642
7,0.944021,2.534666,1.526183,-0.965547,-2.682137
8,0.932068,2.522279,1.527096,-0.999783,-2.641265
9,0.944021,2.534666,1.502258,-0.955963,-2.682137
10,0.932068,2.537509,1.527096,-0.998048,-2.641265
11,0.382278,0.942746,3.383528,-0.997562,-1.263737
12,0.598012,0.998069,1.701513,-0.842124,-1.802893
13,0.382278,0.942746,3.369241,-0.996549,-1.263737
14,0.598012,0.987693,1.701513,-0.765370,-1.802893
15,0.485092,0.810106,1.781188,-0.821147,-1.538733
16,0.395017,1.259187,3.571975,-0.830242,-0.600414
17,0.598012,0.987693,1.751439,-0.636390,-1.802893
18,0.264900,0.619925,4.055978,-0.788934,-0.963642
19,1.343127,1.367538,0.244406,-0.645672,-1.474041
20,0.636997,1.523225,2.125011,-0.677400,-0.513035
21,0.944021,2.534666,1.526183,-0.965547,-2.682137
22,0.932068,2.522279,1.527096,-0.999783,-2.641265
23,0.596383,1.000902,0.490712,-0.858511,-3.358212
24,0.944021,2.534666,1.502258,-0.955963,-2.682137
25,0.932068,2.537509,1.527096,-0.998048,-2.641265
26,0.636997,1.523225,2.023423,-0.808840,-3.233847
27,0.382278,0.942746,3.383528,-0.997562,-1.263737
28,0.598012,0.744862,0.218944,-0.968691,-2.068957
29,0.382278,0.942746,3.369241,-0.996549,-1.263737
30,0.598012,0.998069,1.701513,-0.842124,-1.802893
31,0.598012,0.987693,1.701513,-0.765370,-1.802893
32,0.485092,0.810106,1.781188,-0.821147,-1.538733
33,0.395017,1.259187,3.571975,-0.830242,-0.600414
34,0.264900,0.619925,4.032085,-0.818221,-0.963642
35,0.598012,0.987693,1.751439,-0.636390,-1.802893
36,1.343127,1.367538,0.244406,-0.645672,-1.474041
37,0.944021,2.534666,1.526183,-0.965547,-2.682137
38,0.596383,1.000902,0.490712,-0.858511,-3.358212
39,0.932068,2.512707,1.527096,-0.999823,-2.641265
40,0.944021,2.534666,1.502258,-0.955963,-2.682137
41,0.636997,1.523225,2.023423,-0.808840,-3.233847
42,0.596383,1.014838,0.517795,-0.756300,-3.358212
43,0.932068,2.522279,1.527096,-0.999783,-2.641265
44,0.932068,2.508667,1.527096,-0.999730,-2.641265
45,0.932068,2.537509,1.527096,-0.998048,-2.641265
46,0.382278,0.942746,3.383528,-0.997562,-1.263737
47,0.598012,0.744862,0.218944,-0.968691,-2.068957
48,0.445260,1.259187,3.516696,-0.987703,-1.426711
49,0.831963,2.319492,1.975316,-0.768538,-2.273109
50,0.597998,1.001743,1.621732,-0.980958,-1.802485
51,0.382278,0.942746,3.369241,-0.996549,-1.263737
52,0.598012,0.998069,1.701513,-0.842124,-1.802893
53,0.944021,2.534666,1.526183,-0.965547,-2.682137
54,0.596383,1.000902,0.490712,-0.858511,-3.358212
55,0.932068,2.512707,1.527096,-0.999823,-2.641265
56,0.944021,2.534666,1.502258,-0.955963,-2.682137
57,0.636997,1.523225,2.023423,-0.808840,-3.233847
58,0.596383,1.014838,0.517795,-0.756300,-3.358212
59,0.932068,2.522279,1.527096,-0.999783,-2.641265
60,0.596383,1.014838,0.450668,-0.611547,-3.358212
61,0.932068,2.508667,1.527096,-0.999730,-2.641265
62,0.932068,2.537509,1.527096,-0.998048,-2.641265
63,0.382278,0.942746,3.383528,-0.997562,-1.263737
64,0.598012,0.744862,0.218944,-0.968691,-2.068957
65,0.445260,1.259187,3.516696,-0.987703,-1.426711
66,0.831963,2.319492,1.975316,-0.768538,-2.273109
67,0.597998,1.001743,1.621732,-0.980958,-1.802485
68,0.436948,1.259187,3.456235,-0.990154,-1.401830
69,0.382278,0.942746,3.369241,-0.996549,-1.263737
70,0.598012,0.998069,1.701513,-0.842124,-1.802893
71,0.944021,2.534666,1.526183,-0.965547,-2.682137
72,0.596383,1.000902,0.490712,-0.858511,-3.358212
73,0.932068,2.512707,1.527096,-0.999823,-2.641265
74,0.943793,2.522279,1.527096,-0.984542,-2.681499
75,0.944021,2.534588,1.502258,-0.955974,-2.682137
76,0.636997,1.523225,2.023423,-0.808840,-3.233847
77,0.596383,1.014838,0.517795,-0.756300,-3.358212
78,0.958574,2.534666,1.530165,-0.819769,-2.733599
79,0.932068,2.522279,1.527096,-0.999783,-2.641265
80,0.944021,2.534666,1.502258,-0.955963,-2.682137
81,0.596383,1.014838,0.450668,-0.611547,-3.358212
82,0.965544,2.512707,1.527096,-0.646320,-2.758412
83,0.932068,2.508667,1.527096,-0.999730,-2.641265
84,0.596383,1.028722,0.521637,-0.605052,-3.358212
85,0.932068,2.528901,1.527096,-0.999025,-2.641265
86,0.932068,2.537509,1.527096,-0.998048,-2.641265
87,0.932068,2.537588,1.527096,-0.998039,-2.641265
