Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
89,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
90,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
91,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
92,1.98,4.31,100,0.00,0.00,0.58,3.00,10.00,-1
93,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
94,1.98,4.31,100,0.00,0.00,0.61,3.00,10.00,-1
95,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
96,1.98,4.31,100,0.00,0.00,0.55,3.00,10.00,-1
97,1.98,4.31,100,1.00,5.58,10.00,4.00,2.79,-1
98,1.98,4.31,100,1.00,4.33,10.00,4.00,3.09,-1
99,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
100,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
101,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
102,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
103,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
104,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
105,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
106,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
107,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
108,1.98,4.31,100,1.00,3.53,0.35,4.00,6.47,-1
109,1.98,4.31,100,1.00,3.57,0.34,4.00,6.49,-1
110,1.98,4.31,100,1.00,1.27,0.09,4.00,8.35,-1
111,1.98,4.31,100,1.00,0.62,0.04,4.00,6.47,-1
112,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
113,1.98,4.31,100,0.00,0.00,0.15,3.00,10.00,-1
114,1.98,4.31,100,1.00,0.62,0.01,4.00,6.80,-1
115,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
116,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
117,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
118,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
119,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
120,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
121,1.98,4.31,100,1.00,3.53,0.35,4.00,6.47,-1
122,1.98,4.31,100,1.00,3.53,0.35,4.00,6.47,-1
123,1.98,4.31,100,1.00,3.57,0.34,4.00,6.49,-1
124,1.98,4.31,100,0.00,0.00,0.24,3.00,10.00,-1
125,1.98,4.31,100,1.00,1.79,10.00,4.00,5.75,-1
126,1.98,4.31,100,1.00,0.62,0.04,4.00,6.47,-1
127,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
128,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
129,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
130,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
131,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
132,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
133,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
134,1.98,4.31,100,1.00,3.53,0.35,4.00,6.47,-1
135,1.98,4.31,100,1.00,3.53,0.35,4.00,6.47,-1
136,1.98,4.31,100,1.00,1.81,10.00,4.00,5.68,-1
137,1.98,4.31,100,1.00,3.61,0.34,4.00,6.48,-1
138,1.98,4.31,100,1.00,3.61,0.34,4.00,6.48,-1
139,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
140,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
141,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
142,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
143,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
144,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
145,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
146,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
147,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
148,1.98,4.31,100,1.00,3.61,0.34,4.00,6.48,-1
149,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
150,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
151,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
152,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
153,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
154,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
155,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
156,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
157,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
158,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
159,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
160,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
161,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
162,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
163,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
164,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
165,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
166,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
167,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
168,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
169,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
170,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
171,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
172,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
173,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
174,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
175,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
176,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
177,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
178,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
179,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
180,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
181,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
182,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
183,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
184,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
185,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
186,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
187,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
188,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
189,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
190,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
191,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
192,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
193,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
194,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
195,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
196,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
197,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
198,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
199,1.98,4.31,100,1.00,2.07,0.02,4.00,7.63,-1
200,1.98,4.31,100,0.00,0.00,0.02,3.00,10.00,-1
201,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
202,1.98,4.31,100,1.00,3.65,0.34,4.00,6.51,-1
203,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
204,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
205,1.98,4.31,100,1.00,2.06,0.01,4.00,7.64,-1
206,1.98,4.31,100,1.00,3.61,0.35,4.00,6.45,-1
207,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
208,1.98,4.31,100,1.00,3.70,0.36,4.00,6.49,-1
209,1.98,4.31,100,1.00,2.51,0.01,4.00,7.67,-1
210,1.98,4.31,100,1.00,3.56,0.35,4.00,6.43,-1
211,1.98,4.31,100,1.00,2.60,0.01,4.00,7.68,-1
212,1.98,4.31,100,1.00,3.75,0.35,4.00,6.52,-1
