n_evals,gd_all_default
8,0.1840119134311114
16,0.18037856103881633
24,0.18037856103881633
32,0.18037603628974958
40,0.18036072101211215
48,0.18036072101211215
56,0.18028144092871934
64,0.18028144092871934
72,0.18028144092871934
80,0.18028130186535823
88,0.18028130186535823
102,0.14464711248477982
116,0.13550847844449596
130,0.1259800413753823
144,0.12196239400568955
158,0.12196239400568955
181,0.11248461079218826
204,0.09646968283261358
227,0.1701176827596065
250,0.1740854890971679
265,0.1740854890971679
289,0.14404583477509622
313,0.028290958808718042
337,0.028290958808718042
361,0.02784703743889685
366,0.06261874038846109
408,0.04380258328049842
450,0.04482732113943846
492,0.036680463077552745
534,0.03777631104667587
545,0.03777631104667587
579,0.03704306375391724
613,0.03736920826738241
647,0.036106338460903
681,0.034609533208992564
703,0.034609533208992564
798,0.03133617485796338
893,0.03178452851275918
988,0.032381704239033256
1083,0.03723538120981537
