n_evals,gd_global_default
8,0.1840119134311114
16,0.19211670009506315
24,0.18803386911897735
32,0.171063265330453
40,0.17768589370946108
48,0.1782208591699913
56,0.19882682600590312
64,0.19591774599379583
72,0.19379756903581938
80,0.20498912235265118
88,0.20216537143981766
102,0.2077291460399357
116,0.19706018378151846
130,0.18730408580420574
144,0.10223199762656178
158,0.1049400912472264
181,0.06264231938127895
204,0.07072644506359103
227,0.11719181000533242
250,0.11733381414741993
265,0.1257622807241152
289,0.10445432491764035
313,0.03622919706400569
337,0.03532196983482996
361,0.03786540670403933
366,0.03927184611792692
408,0.012300844870026152
450,0.0168045108150217
492,0.01620149348773418
534,0.017738045697275117
545,0.02030107963731475
579,0.022616598633661958
613,0.025145617428014036
647,0.027318821936772368
681,0.026715046360328704
703,0.027814278706345195
798,0.02300927146736015
893,0.021935171906089155
988,0.02346393273530049
1083,0.023224982106610816
