n_evals,sp
8,0.2648712071978394
16,0.27267318319792705
24,0.27267318319792705
32,0.2726656536989623
40,0.27257586654454335
48,0.27257586654454335
56,0.27268298172266503
64,0.27268298172266503
72,0.27268298172266503
80,0.2726722075676773
88,0.2726722075676773
102,0.212909330761835
116,0.16001137144469046
130,0.14771137251950647
144,0.1477026713950763
158,0.1477026713950763
181,0.1129558163964509
204,0.09144038740809762
227,0.1469752155431544
250,0.1367830201744107
265,0.1367830201744107
289,0.1277392462955924
313,0.17379607085684148
337,0.17379607085684148
361,0.14756773151468044
366,0.35317575749063096
408,0.3457444711009264
450,0.2305525900843314
492,0.24736919547535619
534,0.19992550886793795
545,0.19992550886793795
579,0.13756291725090555
613,0.11310310415479204
647,0.09630344358423788
681,0.0917105699085165
703,0.0917105699085165
798,0.125
893,0.14685606900440526
988,0.11551353858114624
1083,0.09103524544051862
