n_evals,sp_global
8,0.2648712071978394
16,0.14285714285714304
24,0.09090909090909105
32,0.08004519573763409
40,0.0616768375500173
48,0.05128205128205122
56,0.047619047619047596
64,0.039999999999999765
72,0.03448275862068958
80,0.03134256746903594
88,0.02898550724637682
102,0.027027027027026813
116,0.022988505747126426
130,0.01980198019801984
144,0.022988505747126284
158,0.01980198019801974
181,0.018867924528301744
204,0.01600206795412105
227,0.02656327840811756
250,0.0235294117647062
265,0.020000000000000268
289,0.018518518518518504
313,0.021739130434782716
337,0.019230769230769273
361,0.024390243902439022
366,0.022988505747126346
408,0.03636363636363628
450,0.031250000000000014
492,0.028571428571428657
534,0.027027027027027042
545,0.023529411764705924
579,0.02325581395348855
613,0.019230769230769308
647,0.01626016260162639
681,0.014814814814814656
703,0.012738853503184601
798,0.01801801801801814
893,0.019230769230769298
988,0.016393442622950657
1083,0.017699115044247683
