n_evals,hv_all
8,0.22588060779355587
16,0.22588060794255158
24,0.22588060794255158
32,0.2258957940254573
40,0.2259218298838271
48,0.2259218298838271
56,0.22592189848432884
64,0.22592189848432884
72,0.22592189848432884
80,0.22592457948259914
88,0.22592457948259914
102,0.22592529809388806
116,0.22592580146178337
130,0.22592580146178337
144,0.24459734647870487
158,0.24459734647870487
181,0.2446121126162002
204,0.2642039867083859
227,0.2659830645666054
250,0.30987903304533376
265,0.30987903304533376
289,0.3109155686674291
313,0.5761716523192413
337,0.5761716523192413
361,0.5823342528432127
366,0.5823342528432127
408,0.5890341922121541
450,0.5910015479285257
492,0.5914545146283654
534,0.6020187950918624
545,0.6020187950918624
579,0.6038884137506878
613,0.6043542959367323
647,0.6044318471554393
681,0.6045054821501967
703,0.6045054821501967
798,0.6073428908248166
893,0.6076780611862872
988,0.6077238265685463
1083,0.6078091401320048
