n_evals,igd_global
8,0.2096655472766168
16,0.20973819353478176
24,0.20973819353478176
32,0.20973817810054393
40,0.20973808461895055
48,0.20973808461895055
56,0.20974160890064342
64,0.20974160890064342
72,0.20974160890064342
80,0.2097416080421386
88,0.2097416080421386
102,0.20974144744323472
116,0.20974144744323472
130,0.20974144744323472
144,0.19399376696661252
158,0.19399376696661252
181,0.19399376696661252
204,0.17464196235689863
227,0.1714291970359001
250,0.15463949353014347
265,0.15463949353014347
289,0.15463949353014347
313,0.09673281383562186
337,0.09673281383562186
361,0.09662303478453262
366,0.09662303478453262
408,0.09416102883801107
450,0.08486047139448044
492,0.08413635897697753
534,0.07469604315511578
545,0.07469604315511578
579,0.07200268129666064
613,0.07198790963357103
647,0.07197846391443719
681,0.07197383699468654
703,0.07197383699468654
798,0.07048855988053626
893,0.07063238447861211
988,0.07036686334004418
1083,0.07004298671539867
