n_evals,hv_all
100,0.21639260425487636
200,0.48429580659308197
300,0.5189376031759554
400,0.5265434384476131
500,0.5521731035410096
600,0.5730716218884039
700,0.5742436896027533
800,0.5998747697586202
900,0.6095274862830868
1000,0.6313145110879519
