Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
0,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
1,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
2,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
3,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
4,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
5,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
6,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
7,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
8,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
9,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
10,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
11,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
12,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
13,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
14,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
15,1.98,4.31,100,0.00,0.00,0.38,3.00,10.00,-1
16,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
17,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
18,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
19,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
20,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
21,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
22,1.98,4.31,100,0.00,0.00,0.20,3.00,10.00,-1
23,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
24,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
25,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
26,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
27,1.98,4.31,100,1.00,1.87,10.00,4.00,5.19,-1
28,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
29,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
30,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
31,1.98,4.31,100,1.00,1.87,10.00,4.00,5.19,-1
32,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
33,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
34,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
35,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
36,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
37,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
38,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
39,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
40,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
41,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
42,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
43,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
44,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
45,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
46,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
47,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
48,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
49,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
50,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
51,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
52,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
53,1.98,4.31,100,1.00,1.87,10.00,4.00,5.33,-1
54,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
55,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
56,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
57,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
58,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
59,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
60,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
61,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
62,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
63,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
64,1.98,4.31,100,1.00,2.08,10.00,4.00,4.88,-1
65,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
66,1.98,4.31,100,1.00,1.99,10.00,4.00,5.03,-1
67,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
68,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
69,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
70,1.98,4.31,100,1.00,1.86,10.00,4.00,5.30,-1
71,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
72,1.98,4.31,100,1.00,2.08,10.00,4.00,4.88,-1
73,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
74,1.98,4.31,100,1.00,2.07,10.00,4.00,6.20,-1
75,1.98,4.31,100,1.00,2.07,10.00,4.00,4.87,-1
76,1.98,4.31,100,1.00,1.99,10.00,4.00,5.03,-1
77,1.98,4.31,100,1.00,1.94,10.00,4.00,5.13,-1
78,1.98,4.31,100,1.00,1.94,10.00,4.00,5.11,-1
79,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
80,1.98,4.31,100,1.00,2.07,10.00,4.00,6.18,-1
81,1.98,4.31,100,1.00,2.48,10.00,4.00,5.39,-1
82,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
83,1.98,4.31,100,1.00,2.08,10.00,4.00,4.84,-1
84,1.98,4.31,100,1.00,2.07,10.00,4.00,6.20,-1
85,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
86,1.98,4.31,100,1.00,1.99,10.00,4.00,5.03,-1
87,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
88,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
89,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
90,1.98,4.31,100,1.00,2.49,10.00,4.00,5.37,-1
91,1.98,4.31,100,1.00,2.08,10.00,4.00,4.73,-1
92,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
93,1.98,4.31,100,1.00,2.48,10.00,4.00,5.39,-1
94,1.98,4.31,100,1.00,1.99,10.00,4.00,5.03,-1
95,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
96,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
97,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
98,1.98,4.31,100,1.00,2.07,10.00,4.00,5.01,-1
99,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
100,1.98,4.31,100,1.00,1.99,10.00,4.00,5.00,-1
101,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
102,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
103,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
104,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
105,1.98,4.31,100,1.00,1.94,10.00,4.00,5.05,-1
106,1.98,4.31,100,1.00,1.98,10.00,4.00,4.98,-1
107,1.98,4.31,100,1.00,1.93,10.00,4.00,5.06,-1
108,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
109,1.98,4.31,100,1.00,2.07,10.00,4.00,5.01,-1
110,1.98,4.31,100,1.00,2.06,10.00,4.00,4.97,-1
111,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
112,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
113,1.98,4.31,100,1.00,1.99,10.00,4.00,5.00,-1
114,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
115,1.98,4.31,100,1.00,1.99,10.00,4.00,4.98,-1
116,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
117,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
118,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
119,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
120,1.98,4.31,100,1.00,2.07,10.00,4.00,5.01,-1
121,1.98,4.31,100,1.00,2.06,10.00,4.00,4.97,-1
122,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
123,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
124,1.98,4.31,100,1.00,2.07,10.00,4.00,5.03,-1
125,1.98,4.31,100,1.00,2.55,10.00,4.00,4.85,-1
126,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
127,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
128,1.98,4.31,100,1.00,1.99,10.00,4.00,5.00,-1
129,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
130,1.98,4.31,100,1.00,2.57,10.00,4.00,4.91,-1
131,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
132,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
133,1.98,4.31,100,1.00,2.06,10.00,4.00,4.93,-1
134,1.98,4.31,100,1.00,2.55,10.00,4.00,4.85,-1
135,1.98,4.31,100,1.00,2.07,10.00,4.00,5.01,-1
136,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
137,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
138,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
139,1.98,4.31,100,1.00,2.56,10.00,4.00,4.88,-1
140,1.98,4.31,100,1.00,2.07,10.00,4.00,5.03,-1
141,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
142,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
143,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
144,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
145,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
146,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
147,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
148,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
149,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
150,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
151,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
152,1.98,4.31,100,1.00,2.00,10.00,4.00,4.94,-1
153,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
154,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
155,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
156,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
157,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
158,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
159,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
160,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
161,1.98,4.31,100,1.00,2.01,10.00,4.00,5.00,-1
162,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
163,1.98,4.31,100,1.00,2.00,10.00,4.00,4.94,-1
164,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
165,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
166,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
167,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
168,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
169,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
170,1.98,4.31,100,1.00,2.01,10.00,4.00,5.00,-1
171,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
172,1.98,4.31,100,1.00,2.00,10.00,4.00,4.94,-1
173,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
174,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
175,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
176,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
177,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
178,1.98,4.31,100,0.00,0.00,0.70,3.00,10.00,-1
179,1.98,4.31,100,1.00,2.08,10.00,4.00,4.74,-1
180,1.98,4.31,100,1.00,6.59,10.00,4.00,2.67,-1
181,1.98,4.31,100,1.00,2.00,10.00,4.00,4.91,-1
182,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
183,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
184,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
185,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
186,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
187,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
188,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
189,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
190,1.98,4.31,100,1.00,2.00,10.00,4.00,4.91,-1
191,1.98,4.31,100,1.00,2.08,10.00,4.00,4.74,-1
192,1.98,4.31,100,0.00,0.00,0.70,3.00,10.00,-1
193,1.98,4.31,100,1.00,6.59,10.00,4.00,2.67,-1
194,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
195,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
196,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
197,1.98,4.31,100,0.00,0.00,0.70,3.00,10.00,-1
198,1.98,4.31,100,1.00,2.08,10.00,4.00,4.74,-1
199,1.98,4.31,100,1.00,6.61,10.00,4.00,2.63,-1
200,1.98,4.31,100,1.00,2.01,10.00,4.00,4.94,-1
201,1.98,4.31,100,1.00,2.00,10.00,4.00,4.91,-1
202,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
203,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
204,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
205,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
206,1.98,4.31,100,1.00,6.59,10.00,4.00,2.67,-1
207,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
208,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
209,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
210,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
211,1.98,4.31,100,1.00,2.08,10.00,4.00,4.74,-1
212,1.98,4.31,100,0.00,0.00,0.70,3.00,10.00,-1
213,1.98,4.31,100,0.00,0.00,0.71,3.00,10.00,-1
214,1.98,4.31,100,1.00,6.61,10.00,4.00,2.63,-1
215,1.98,4.31,100,1.00,2.01,10.00,4.00,4.94,-1
216,1.98,4.31,100,1.00,2.00,10.00,4.00,4.91,-1
217,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
218,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
219,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
220,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
221,1.98,4.31,100,1.00,6.59,10.00,4.00,2.67,-1
222,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
223,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
224,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
225,1.98,4.31,100,1.00,2.08,10.00,4.00,4.73,-1
226,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
227,1.98,4.31,100,0.00,0.00,0.71,3.00,10.00,-1
228,1.98,4.31,100,1.00,6.61,10.00,4.00,2.63,-1
229,1.98,4.31,100,1.00,2.00,10.00,4.00,4.91,-1
230,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
231,1.98,4.31,100,1.00,2.01,10.00,4.00,4.94,-1
232,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
233,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
234,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
235,1.98,4.31,100,1.00,6.59,10.00,4.00,2.67,-1
236,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
237,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
238,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
239,1.98,4.31,100,1.00,2.08,10.00,4.00,4.73,-1
240,1.98,4.31,100,0.00,0.00,0.69,3.00,10.00,-1
241,1.98,4.31,100,0.00,0.00,0.78,3.00,10.00,-1
242,1.98,4.31,100,1.00,6.61,10.00,4.00,2.63,-1
243,1.98,4.31,100,1.00,2.01,10.00,4.00,4.94,-1
244,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
245,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
246,1.98,4.31,100,0.00,0.00,0.71,3.00,10.00,-1
247,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
248,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
249,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
250,1.98,4.31,100,1.00,6.59,10.00,4.00,2.67,-1
251,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
252,1.98,4.31,100,1.00,1.99,10.00,4.00,4.97,-1
253,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
254,1.98,4.31,100,1.00,2.00,10.00,4.00,4.85,-1
255,1.98,4.31,100,1.00,2.00,10.00,4.00,4.84,-1
256,1.98,4.31,100,1.00,2.00,10.00,4.00,4.88,-1
257,1.98,4.31,100,1.00,2.00,10.00,4.00,4.92,-1
258,1.98,4.31,100,1.00,2.01,10.00,4.00,4.94,-1
259,1.98,4.31,100,1.00,1.99,10.00,4.00,4.91,-1
260,1.98,4.31,100,1.00,2.04,10.00,4.00,4.79,-1
261,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
