Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
1,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
2,1.762231,1.374930,0.945220,-0.000000,-5.924934,0
3,1.788724,0.580486,1.855562,-0.000000,-6.122612,0
4,1.857175,0.907979,2.133507,-0.000000,-6.400588,0
5,1.982251,1.394838,3.156308,-0.000000,-6.916198,0
6,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
7,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
8,1.992070,2.437862,0.569251,-0.000000,-6.942567,0
9,1.982251,1.394838,3.156308,-0.000000,-6.916198,0
10,0.577616,2.492571,0.600991,-0.000882,-1.783965,0
11,1.762231,1.374930,0.945220,-0.000000,-5.924934,0
12,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
13,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
14,1.992070,2.437862,0.569251,-0.000000,-6.942567,0
15,0.629152,2.332033,2.153085,-0.182989,-0.127534,0
16,1.987645,2.437862,3.060625,-0.000000,-6.934991,0
17,0.610384,2.332033,0.554079,-0.001898,-1.848201,0
18,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
19,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
20,1.992070,2.437862,0.569251,-0.000000,-6.942567,0
21,1.992070,2.437862,2.857866,-0.000000,-6.960696,0
22,1.992070,2.457902,0.313524,-0.442772,-0.538018,0
23,1.987645,2.437862,3.060625,-0.000000,-6.934991,0
24,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
25,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
26,1.992070,2.437862,2.857866,-0.000000,-6.960696,0
27,0.629152,2.075781,2.711927,-0.938049,-1.874853,1
28,1.992070,2.330897,2.857866,-0.000000,-6.960696,0
29,1.992070,2.458014,0.569251,-0.000000,-6.942567,0
30,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
31,0.629152,2.075781,2.711927,-0.938049,-1.874853,1
32,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
33,1.992070,2.458014,0.569251,-0.000000,-6.942567,0
34,1.992070,2.437862,2.857866,-0.000000,-6.960696,0
35,1.992070,2.330897,2.857866,-0.000000,-6.960696,0
36,1.992070,2.437862,2.857866,-0.000000,-6.960696,0
37,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
38,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
39,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
40,1.992070,2.458249,0.569251,-0.000000,-6.942567,0
41,1.992070,2.437626,2.857866,-0.000000,-6.960696,0
42,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
43,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
44,1.992070,2.458249,0.569251,-0.000000,-6.942567,0
45,1.995221,2.437862,2.857866,-0.000000,-6.970881,0
46,0.649566,2.436618,2.859875,-0.977239,-1.932018,1
47,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
48,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
49,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
50,1.992070,2.458249,0.569251,-0.000000,-6.942567,0
51,1.995221,2.437862,2.857866,-0.000000,-6.970881,0
52,0.649566,2.436618,2.859875,-0.977239,-1.932018,1
53,0.629152,2.332033,3.045437,-0.944681,-1.874771,1
54,1.363806,2.492571,0.573800,-0.152375,-5.108049,0
55,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
56,1.992070,2.458249,0.569251,-0.000000,-6.942567,0
57,0.649566,2.436618,2.859875,-0.977239,-1.932018,1
58,1.998439,2.245924,2.884057,-0.000000,-6.981979,0
59,0.649566,2.436618,2.856721,-0.977239,-1.932018,1
60,0.649566,2.436618,2.859875,-0.977239,-1.932018,1
61,0.649566,2.436618,2.856721,-0.977239,-1.932018,1
62,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
63,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
64,0.740606,2.337520,2.717321,-0.007867,-2.081668,0
65,0.650711,2.435382,2.711927,-0.990764,-1.934543,1
66,0.680996,2.179841,2.711927,-0.606845,-1.986416,1
67,0.649566,2.436618,2.859875,-0.977239,-1.932018,1
68,0.649566,2.436618,2.856721,-0.977239,-1.932018,1
69,0.649566,2.436618,2.859273,-0.977239,-1.932018,1
70,0.627439,2.104732,2.874550,-0.974350,-1.869445,1
71,0.680996,2.340850,2.711927,-0.941398,-1.986416,1
72,0.740606,2.337520,2.717321,-0.007867,-2.081668,0
73,0.650711,2.435382,2.711927,-0.990764,-1.934543,1
74,0.740606,1.531195,3.438066,-0.000000,-2.083219,0
75,0.737961,2.341722,2.717671,-0.011160,-2.078722,0
