n_evals,hv_all
6,0.10664749867649347
12,0.10670024665971677
18,0.10670024665971677
24,0.10673651133241654
30,0.10673651136774236
36,0.10673651136774236
42,0.11462779079372186
48,0.11464816454249163
54,0.11464816454249163
60,0.11467036462730723
63,0.11467036462730723
71,0.11467036462730723
79,0.11467036462730723
87,0.11467036462730723
95,0.11467036462730723
97,0.11467036462730723
108,0.11698962181220919
119,0.1173447724713146
130,0.1173447724713146
141,0.11739683096701402
149,0.11739683096701402
158,0.11791826202050616
167,0.11802845314776603
176,0.11802845314776603
185,0.18718000110626803
195,0.18718000110626803
209,0.18729174478713195
223,0.1873017838188539
237,0.2032080185481583
251,0.20326240012552582
259,0.20326240012552582
316,0.2075869513894494
373,0.20765140137065843
430,0.20768035018296785
487,0.20773052010451132
500,0.20773052010451132
517,0.20900255238698404
534,0.20901504116333258
551,0.2536083289551481
568,0.2626310047271443
585,0.2626310047271443
610,0.268146807728679
635,0.4188355462110566
660,0.41930915837522403
685,0.43543411514952335
710,0.43543411514952335
749,0.4634818637546248
788,0.4641785420161931
827,0.4722354808697022
866,0.4725187341830173
877,0.4725187341830173
945,0.47309659572590973
1013,0.4731005957078495
1081,0.474045739020848
1149,0.4748896083178092
