n_evals,sp_global
6,0.227486842588668
12,0.3758093889323997
18,0.2857142857142856
24,0.18119288941477152
30,0.14285714285714277
36,0.09999999999999991
42,0.0909090909090908
48,0.15095354689861526
54,0.11111111111111106
60,0.09031849617544467
63,0.07948027663439142
71,0.09345007380311811
79,0.08639262748712855
87,0.08532397957029998
95,0.07948121729502508
97,0.07359371971761584
108,0.12079539326970808
119,0.11015904008087041
130,0.08637202101837131
141,0.07096044128553901
149,0.05555555555555575
158,0.0499999999999999
167,0.04081632653061226
176,0.03448275862068977
185,0.05128205128205127
195,0.04081632653061229
209,0.03333333333333332
223,0.027397260273972563
237,0.025641025641025997
251,0.02298850574712645
259,0.021052631578947448
316,0.04253657630478906
373,0.040816326530612276
430,0.03508771929824567
487,0.03703703703703697
500,0.029850746268656785
517,0.03571428571428558
534,0.028985507246376788
551,0.027027027027026862
568,0.02352941176470567
585,0.019607843137254825
610,0.017543859649123056
635,0.023446595321530747
660,0.019230769230769367
685,0.01626016260162618
710,0.01360544217687097
749,0.01538461538461524
788,0.01234567901234602
827,0.011299435028248726
866,0.009523809523809547
877,0.009049773755656226
945,0.011976047904191755
1013,0.011560693641618682
1081,0.011560693641618719
1149,0.01123595505617971
