n_evals,sp
6,0.227486842588668
12,0.5
18,0.5
24,0.3953618291593895
30,0.399542754051288
36,0.399542754051288
42,0.3923145390187442
48,0.4905990274204999
54,0.4905990274204999
60,0.3970228649408862
63,0.5
71,0.5
79,0.4584708101989069
87,0.37508288696940995
95,0.44966819075166325
97,1.0
108,0.5
119,0.488531272003943
130,0.1962876532381309
141,0.19869698169284195
149,0.2838362832813769
158,0.24929882047479932
167,0.24865104645031638
176,0.24865104645031638
185,0.24833063257103583
195,0.2212567378524997
209,0.1537875723509792
223,0.15339570792574989
237,0.1533961757309128
251,0.15315870274160323
259,0.19858620410588332
316,0.18422254708358632
373,0.16632565337121166
430,0.11739528899920797
487,0.11015882286418568
500,0.16591871665712196
517,0.17895270743984293
534,0.15208915231122852
551,0.13176168446883538
568,0.12361135205940917
585,0.12361135205940917
610,0.10982032403275269
635,0.1405215698913833
660,0.10404312721600795
685,0.0823739013122214
710,0.0823739013122214
749,0.06594101973469411
788,0.05992550687675829
827,0.05205056412737205
866,0.05203030936989988
877,0.11779377212084809
945,0.2158662680734363
1013,0.10789011546317122
1081,0.11841544516704428
1149,0.10500581565932565
