n_evals,gd_global_default
6,0.14451674978677856
12,0.17097038517058705
18,0.16073333319430316
24,0.14341127389979055
30,0.14737260593261434
36,0.12960835961100378
42,0.1331993640186589
48,0.21666565625242593
54,0.18403412470125358
60,0.17342490289267345
63,0.1584827980403605
71,0.18172831625855904
79,0.17030508661649443
87,0.17168181755940978
95,0.16191010446977944
97,0.15353435039295343
108,0.22421370485910766
119,0.2117800573173164
130,0.1859339687195092
141,0.16318844725359932
149,0.1450664093865588
158,0.15433640236934038
167,0.15587650599817018
176,0.15694674750295018
185,0.04172463681787627
195,0.05779902791553181
209,0.07281579241467502
223,0.08539791394896398
237,0.0655069954627335
251,0.06592200020447662
259,0.0684384348294084
316,0.06996917669359405
373,0.07839739428153124
430,0.08317915612137759
487,0.0672941934497076
500,0.08042434733541741
517,0.11239559146277016
534,0.11788771485882339
551,0.07923595967241653
568,0.06449868210900185
585,0.06653706810594733
610,0.05486910721487388
635,0.03496805304481753
660,0.03958932579142794
685,0.03788942723216943
710,0.04006721247243881
749,0.028161201990620926
788,0.03231702382024609
827,0.04011928621662219
866,0.04186673509788143
877,0.04185166952743143
945,0.04656553903628291
1013,0.04661118850386621
1081,0.04512245373710601
1149,0.04473619052025871
