n_evals,gd_all_default
6,0.14451674978677856
12,0.1436715799004967
18,0.1436715799004967
24,0.10876715531076532
30,0.08519774380697732
36,0.08519774380697732
42,0.08338214130210479
48,0.09266583635797085
54,0.09266583635797085
60,0.08278707306333623
63,0.04392666083929395
71,0.27850802142552417
79,0.46633158521679885
87,0.4572080694490501
95,0.44030294090136374
97,0.04464954739421522
108,0.3209260020893812
119,0.3473983223394696
130,0.37923852053702894
141,0.42417336609345746
149,0.07937402211853668
158,0.11069145750986797
167,0.16289253364061693
176,0.16289253364061693
185,0.133684395523461
195,0.12209659230615402
209,0.11176328995558475
223,0.13435231398166372
237,0.12986373804674015
251,0.14443071805778213
259,0.09611921570365783
316,0.19144475489610588
373,0.3871391380123894
430,0.3863320009012654
487,0.4886859647630955
500,0.1359749983903435
517,0.1529668011990472
534,0.13230255505982386
551,0.08037663278536883
568,0.07684890314931857
585,0.07684890314931857
610,0.06824008621808834
635,0.06197573218427495
660,0.05764383735255564
685,0.04939634279749683
710,0.04939634279749683
749,0.05404233582977436
788,0.054461638373629
827,0.05529972240556236
866,0.0543159058207866
877,0.04156268449425437
945,0.33544219978889855
1013,0.43037778570615126
1081,0.4462616399988536
1149,0.4123939556889681
