n_evals,igd_all
6,0.3232199317093077
12,0.32294009425236214
18,0.32294009425236214
24,0.3227481365212059
30,0.3215042605569578
36,0.3215042605569578
42,0.3108680732825852
48,0.3105446033259797
54,0.3105446033259797
60,0.31042711946525836
63,0.4882068107448843
71,0.45850218866636083
79,0.45840485989066
87,0.44700164170304085
95,0.44483300658415154
97,0.4881364319017023
108,0.43026829395497446
119,0.4289627077256432
130,0.4225986372624284
141,0.4220523421491301
149,0.29671889464569956
158,0.2966519653773886
167,0.2966519653773886
176,0.2966519653773886
185,0.2700407190821487
195,0.2700407190821487
209,0.270035620098934
223,0.270035620098934
237,0.2644538860095967
251,0.26324804424661236
259,0.4203962610445077
316,0.3911607571582144
373,0.3911638563190444
430,0.3912127402701987
487,0.3907771442416538
500,0.2616455934620719
517,0.26133137723391714
534,0.2599926004519037
551,0.2454937330085031
568,0.24168904630191584
585,0.24168904630191584
610,0.24168904630191584
635,0.20538720450146591
660,0.20492100218487289
685,0.20320832664511188
710,0.20320832664511188
749,0.16838000299628722
788,0.16833308019062623
827,0.168256358385739
866,0.1681449207408881
877,0.42811919125932074
945,0.39452362242408023
1013,0.3945211694112026
1081,0.38525394422282394
1149,0.37526929232173134
