n_evals,gd_all_default
7,0.11022326056934158
14,0.1444355715783924
21,0.1444355715783924
28,0.1444355715783924
35,0.143508701175673
38,0.135145703107963
52,0.13421357431038838
66,0.11856289049649894
80,0.1284939442494404
94,0.10763002736704883
99,0.09836196672057666
114,0.2396939803286916
129,0.26014572390879787
144,0.34647711978550244
159,0.12392596521572777
169,0.12392596521572777
214,0.07210733413740635
259,0.0655991218563742
304,0.06488323060700639
349,0.07469057435895977
363,0.06265126467997081
421,0.07599995162751487
479,0.07814386458574238
537,0.0785741583705341
595,0.06636333485510192
616,0.07478607652223065
689,0.044679898339181734
762,0.03758006779036032
835,0.043172176892708976
908,0.05951446107989976
925,0.05017416114456383
985,0.06083016925335078
1045,0.057587953651697416
1105,0.06207710839731586
1165,0.06510004611950751
