n_evals,hv_all
7,0.296806435847809
14,0.3173588548227056
21,0.3173588548227056
28,0.3173588548227056
35,0.31742551030194355
38,0.31742551030194355
52,0.3226633608751121
66,0.331528673033275
80,0.33186756563562164
94,0.3879958794128566
99,0.3879958794128566
114,0.39195823126692864
129,0.3919591707942273
144,0.3919591707942273
159,0.3919591707942273
169,0.3919591707942273
214,0.39713076166459443
259,0.3994516591910027
304,0.40008310466622243
349,0.4002623400086722
363,0.4002623400086722
421,0.4005834048325604
479,0.40058985301392863
537,0.4010598760012809
595,0.40890624890003163
616,0.40890624890003163
689,0.43496975612069716
762,0.43524355561571754
835,0.4353022539243564
908,0.4423811635264916
925,0.4423811635264916
985,0.44366202953239176
1045,0.4439218190047513
1105,0.4439883902389685
1165,0.4444066875941673
