n_evals,igd_all
7,0.2618064778709396
14,0.24148225283210809
21,0.24148225283210809
28,0.24148225283210809
35,0.24108354306704283
38,0.3017198209681407
52,0.2951802052424766
66,0.28438475413733555
80,0.28296469200892216
94,0.24842474746983007
99,0.3787150380499159
114,0.35507614882439664
129,0.3518462869765743
144,0.3513434214656344
159,0.30239173106562844
169,0.30239173106562844
214,0.24563949211569328
259,0.2425228619188716
304,0.2422747489213077
349,0.2422747489213077
363,0.2422747489213077
421,0.2421903491604122
479,0.24219639750571584
537,0.2397891885704417
595,0.23439328589088898
616,0.23439328589088898
689,0.216725425865916
762,0.21529699372921496
835,0.21468200759212835
908,0.19917527126896947
925,0.21464094442318069
985,0.2148701272027511
1045,0.2143209350209623
1105,0.21431204395059314
1165,0.21464342619483076
