n_evals,sp
7,0.31589159937950967
14,0.3005470623191062
21,0.3005470623191062
28,0.3005470623191062
35,0.29886041367231136
38,0.5
52,0.34034394446863314
66,0.2166476284675449
80,0.18185413921130858
94,0.18024021758149816
99,0.29040853038579745
114,0.19118652694300653
129,0.21297995628141958
144,0.16530785604039577
159,0.1441378268134897
169,0.1441378268134897
214,0.1393465286240771
259,0.1619121737231739
304,0.1816813406239997
349,0.14285714285714285
363,0.15384615384615372
421,0.09998061915310436
479,0.10523147135204376
537,0.11443494417585047
595,0.10249444628353531
616,0.09736972396935852
689,0.15028296418038278
762,0.13971038163816749
835,0.12224067827470037
908,0.1065803551339809
925,0.12210032312237346
985,0.11509122479033865
1045,0.11497700923646663
1105,0.10423954560777728
1165,0.12389113453654176
