n_evals,igd_global
7,0.2618064778709396
14,0.24148225283210809
21,0.24148225283210809
28,0.24148225283210809
35,0.24108354306704283
38,0.24108354306704283
52,0.23454392734137877
66,0.2256434716082287
80,0.22422340947981534
94,0.19089258868835604
99,0.19089258868835604
114,0.19060260839672025
129,0.19060260839672025
144,0.19060260839672025
159,0.19060260839672025
169,0.19060260839672025
214,0.18639895215322697
259,0.18328232195640534
304,0.18303420895884145
349,0.18303420895884145
363,0.18303420895884145
421,0.18300160492894257
479,0.1830076532742462
537,0.1805132658770654
595,0.17810070038166667
616,0.17810070038166667
689,0.16032827585192777
762,0.15889984371522672
835,0.15828485757814015
908,0.1577122140292941
925,0.1577122140292941
985,0.15777353894567023
1045,0.15722434676388145
1105,0.15721545569351228
1165,0.15731627282943839
