n_evals,gd_global_default
7,0.11022326056934158
14,0.12746837329042848
21,0.13340689269121586
28,0.13626617981011346
35,0.1377572871500816
38,0.1375455370926125
52,0.15635469272104924
66,0.1296436195961207
80,0.13012995621170548
94,0.10123864533284882
99,0.10087906050631479
114,0.10849133285353706
129,0.10388579648509706
144,0.10045257846498724
159,0.09779460322361191
169,0.0956759273065736
214,0.10656247392933058
259,0.09738103294746105
304,0.09165765799843967
349,0.09041877543598775
363,0.08609938487394068
421,0.09261596454880779
479,0.09351767588284819
537,0.07206953259571525
595,0.06673459802010688
616,0.06827169846142142
689,0.0438730220117372
762,0.04126006595641668
835,0.04159517818236481
908,0.05775800017490843
925,0.05638645481835674
985,0.06165299045278709
1045,0.058079142058378885
1105,0.05878674672013765
1165,0.05622554771497606
