Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.918932,2.650860,1.692418,-0.765313,-2.594176,1
1,1.999881,2.001666,2.003376,-0.000000,-6.986983,0
2,1.971561,2.291451,0.222255,-0.432164,-4.860840,0
3,0.830696,2.371949,1.855821,-0.999323,-2.268386,1
4,1.691239,2.102573,0.221912,-0.407635,-6.027417,0
5,1.979169,2.292569,0.222255,-0.482578,-4.804789,0
6,0.924064,2.650860,1.692418,-0.694649,-2.612666,1
7,1.999842,1.550931,0.076343,-0.000006,-6.986497,0
