n_evals,sp_global
7,0.2922956122723302
14,0.15384615384615383
21,0.09999999999999991
28,0.07407407407407395
35,0.06187085599826834
42,0.05405405405405397
49,0.04545454545454511
56,0.041269755187183996
63,0.03636363636363635
70,0.03856765680287617
79,0.0350877192982455
90,0.03508771929824555
101,0.04166666666666666
112,0.03389830508474595
123,0.061838198222699425
132,0.048780487804878044
143,0.048780487804878044
154,0.043378508968474686
165,0.035087719298245626
176,0.030303030303030262
187,0.02597402597402598
206,0.022471910112359616
225,0.022727272727272662
244,0.023255813953488285
263,0.02020202020202006
276,0.01785714285714297
302,0.015151515151514968
328,0.012987012987012514
354,0.012269938650307167
380,0.010752688172042887
406,0.009433962264150818
455,0.013888888888888928
504,0.013986013986014087
553,0.012325980067994284
602,0.010928961748633554
633,0.009345794392523197
686,0.008583690987124614
739,0.0076628352490422744
792,0.007462686567164186
845,0.0067796610169490405
886,0.005952380952380869
967,0.006280654800662987
1048,0.009601755856899282
1129,0.009803921568627258
1210,0.008721298918439953
